C0004941	['PM', 'CN', 'ET', 'LA', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'ET', 'PM', 'PM']
C0005409	['SY', 'FN', 'PT', 'SY']
C0005858	['SY', 'SY', 'SY', 'LLT', 'PN', 'SY', 'FN', 'PT', 'PT', 'PT', 'PTN', 'LLT', 'SY', 'SY', 'SY']
C0005874	['SY', 'SY', 'SY', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'SY', 'FN', 'SY', 'PM', 'SY']
C0005904	['SY', 'SY', 'SY', 'HT', 'PM', 'ET', 'MH', 'PN', 'PT', 'PM', 'PM', 'PM', 'PM']
C0006625	['FN', 'PT', 'SY', 'SY', 'FN', 'ET', 'DN', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'SY', 'SY', 'SY', 'SY']
C0007859	['PM', 'PM', 'ET', 'LLT', 'SY', 'SY', 'PM', 'FN', 'ET', 'LLT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'SY', 'SY', 'PM', 'ET', 'LLT', 'SY', 'PM', 'ET', 'SY', 'SY', 'PM', 'SY', 'FN', 'FN', 'LA', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS', 'PTN', 'SY', 'PM', 'PT', 'ET', 'SY', 'PM', 'SY', 'ET', 'SY', 'SY', 'LLT', 'PM', 'PM', 'PT', 'PT', 'SY', 'SY', 'PM', 'PM']
C0007939	['FN', 'SY', 'SY', 'MH', 'PT', 'PT', 'SY', 'SY', 'SY', 'SY', 'FN', 'ET', 'LLT', 'PN', 'PT', 'PT']
C0007940	['SY', 'FN', 'PT']
C0007942	['FN', 'PT']
C0007943	['SY', 'FN', 'FN', 'PT', 'PT']
