C0004754	['FSY', 'FN', 'BN', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'PT', 'SY', 'SYGB', 'FN', 'PM', 'N1']
C0005023	['FN', 'CN', 'IN', 'IN', 'IN', 'IN', 'IN', 'LPDN', 'LPN', 'MS', 'NM', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'SY', 'PT', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'FN']
C0005076	['N1', 'MH']
C0005091	['ET', 'N1', 'MH', 'PM', 'PM', 'ET', 'ET', 'PM']
C0005092	['PM', 'N1', 'ET', 'PM', 'ET', 'MH', 'PM', 'PM']
C0005104	['N1', 'MH', 'PM']
C0005429	['PEP']
C0005430	['PEP']
C0005432	['PEP']
C0005436	['PEP']
C0005449	['PEP']
C0005667	['ET', 'MH', 'PT', 'ET', 'N1']
C0006032	['PM', 'PM', 'ET', 'PT', 'MH']
C0006215	['MH', 'ET', 'PM', 'PM', 'N1', 'ET']
C0006216	['MH', 'ET', 'N1', 'PM', 'PM']
C0006239	['N1', 'MH', 'PT', 'PM', 'ET', 'ET']
C0006247	['PM', 'PM', 'PM', 'ET', 'MH', 'N1', 'ET']
C0006251	['CSN', 'PM', 'PM', 'ET', 'SY', 'MH', 'PT', 'PT', 'ET', 'SY', 'N1']
C0006312	['CE', 'CSN', 'FN', 'IN', 'IN', 'NM', 'PT', 'PT', 'PT', 'PT', 'CE', 'CE', 'CSN', 'N1']
C0006353	['ET', 'PT', 'PT', 'SY', 'AD', 'PT', 'PT', 'FN', 'IN', 'IN', 'IN', 'MH', 'PT', 'SY', 'PT']
C0006528	['ET', 'MH', 'N1']
C0006617	['ET', 'BN', 'PEP']
C0006692	['SY', 'SY', 'ET', 'PT', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'FN', 'BN', 'DN', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'PIN', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'SY', 'PEP', 'PM', 'SY', 'SY', 'SY', 'FN', 'SY', 'SY']
C0006703	['FN', 'ET', 'IN', 'PT', 'SY', 'PEP', 'PIN', 'PN', 'PM', 'FN', 'IN', 'IN', 'IN', 'PT', 'PT', 'PT', 'PM']
C0006714	['PEP', 'PM']
C0006926	['N1', 'ET', 'FN', 'CN', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'PM', 'ET', 'PM']
C0006991	['ET', 'MH']
C0007010	['SY', 'SY', 'PM', 'SY', 'SY', 'FN', 'IN', 'IN', 'PEP', 'PN', 'PT', 'PT', 'SY', 'PT', 'PT', 'SU', 'SY', 'SY', 'SY']
C0007250	['N1', 'ET', 'FN', 'PT', 'IN', 'IN', 'MH', 'MS', 'PN', 'PT', 'PT', 'SY', 'ET', 'PM', 'ET']
C0007512	['PEP', 'PM']
C0007631	['PEP', 'PT']
C0007888	['FN', 'PT', 'MH', 'PT', 'PM']
C0007974	['SY', 'PM', 'SY', 'PM', 'SY', 'PT', 'ET', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'FN', 'MH', 'PN', 'PT', 'SY', 'ET', 'SY', 'ET', 'SY', 'SY', 'ET', 'SY', 'SY', 'SY', 'FN', 'FN', 'SY']
C0008238	['SY', 'SY', 'FN', 'CN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'LPDN', 'LPN', 'MH', 'MS', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'PT', 'FSY', 'FSY', 'N1', 'FN', 'FSY', 'CSN', 'ET', 'FSY', 'PT', 'SY', 'SY']
C0008247	['MH']
C0008248	['MH']
C0008577	['ET', 'PEP', 'PM']
C0008583	['ET', 'MH', 'PT', 'PM', 'PM']
C0008584	['ET', 'PEP', 'PM', 'PM']
C0008589	['PT', 'MH', 'SY']
C0008599	['PEP', 'PM']
C0008762	['MH', 'N1']
C0008996	['CSN', 'N1', 'CSN', 'FSY', 'FSY', 'FN', 'FN', 'CN', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'FSY', 'ET', 'FN', 'SY']
C0009185	['FN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'FN']
C0009742	['N1', 'FN', 'PT', 'SY', 'SY', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'PM']
C0009801	['PEP', 'PM', 'PM']
C0009924	['PM', 'PM', 'FN', 'DN', 'ET', 'PT', 'PT', 'PT', 'SY', 'ET', 'MTH_HT', 'SY', 'SY', 'SY', 'SY', 'ET', 'PT', 'ET', 'FN', 'FN', 'LA', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'LPN', 'SY', 'PM', 'PM', 'PM', 'SY', 'SY']
C0009979	['IN', 'PEP', 'PN', 'PM']
C0010192	['ET', 'ET', 'ET', 'ET', 'PM', 'SY', 'SY', 'SY', 'N1', 'SY', 'SY', 'ET', 'ET', 'SY', 'SY', 'SY', 'FN', 'BN', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'SY', 'PT', 'FN', 'ET', 'FSY', 'FN', 'ET', 'IN', 'IN', 'SY', 'SY', 'SY', 'SY', 'SY', 'ET', 'SY', 'SY', 'SY', 'ET', 'SY', 'SY']
C0010360	['ET', 'ET', 'ET', 'ET', 'MH', 'ET', 'ET', 'PM', 'PM', 'PM', 'PM', 'PM', 'PM', 'PM', 'PM', 'PM']
C0010454	['ET', 'MH', 'PN', 'PT', 'RT', 'SY', 'SY', 'FN', 'CN', 'LPDN', 'LPN', 'PT', 'SY', 'SY', 'SY', 'PT', 'SY', 'PT', 'SY', 'PM', 'SY']
C0010460	['ET', 'MH', 'N1', 'PM']
C0010467	['CHN', 'CSN', 'ET', 'SY', 'SY', 'AB', 'FN', 'ET', 'FN', 'PT', 'DN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'SY', 'SY', 'ET', 'SY', 'SY', 'SY', 'SY', 'PM', 'SY', 'ET', 'SY', 'SY', 'PM']
C0010511	['PM', 'SY', 'SY', 'ET', 'N1', 'FN', 'MH', 'PT', 'PT', 'PT', 'PT', 'SY']
C0010558	['ET', 'ET', 'ET', 'IN', 'PT', 'PT', 'IN', 'IN', 'MH', 'PN', 'PT', 'SU', 'SY', 'ET', 'PM']
C0010573	['FN', 'PN', 'ET', 'PEP', 'PT']
C0010574	['PT', 'MH', 'PN']
C0010974	['PM', 'PM', 'MH', 'ET']
C0011051	['PM', 'MH', 'N1', 'ET']
C0011145	['CSN', 'N1', 'FSY', 'FSY', 'FN', 'ET', 'SY', 'DN', 'FSY', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'PT', 'FSY', 'ET', 'SY', 'ET', 'SY', 'SY', 'SY', 'ET', 'ET', 'ET', 'ET', 'SY', 'SY', 'SY', 'SY', 'SY', 'ET', 'SY', 'SY', 'SY', 'SY', 'CSN', 'PT', 'CSN', 'FN']
C0011148	['FN', 'ET', 'SY', 'FN', 'BN', 'DN', 'ET', 'IN', 'IN', 'IN', 'IN', 'IN', 'PIN', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'SY', 'ET', 'SY', 'SY', 'PEP', 'SY', 'SY', 'SY', 'AB', 'PM', 'PM', 'PM', 'PM']
C0011182	['ET', 'SY', 'SY', 'SY', 'SY', 'SY', 'N1', 'SY', 'SY', 'FN', 'FN', 'FN', 'PT', 'BN', 'GN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PIN', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'ET', 'IN', 'SY', 'FN', 'ET']
C0011953	['PM', 'PM', 'MH', 'PT', 'N1', 'ET', 'ET', 'ET', 'ET', 'ET']
