C0000052	['1,4-alpha-Glucan Branching Enzyme']
C0002520	['Amino Acids']
C0002521	['Amino Acids, Branched-Chain']
C0002525	[]
C0002527	[]
C0002529	[]
C0002531	[]
C0002540	['Aminobenzoic Acids']
C0002543	['4-Aminobutyrate aminotransferase']
C0002553	[]
C0002559	[]
C0002563	['aminolevulinic acid']
C0002564	['PORPHOBILINOGEN SYNTHASE']
C0002565	['5-Aminolevulinate synthase']
C0002570	['Aminopeptidase']
C0002587	[]
C0002594	['Transaminases']
C0002610	['Ammonia-Lyases']
C0002612	[]
C0002651	['AMP Deaminase']
C0002667	['Amphetamines']
C0002670	[]
C0002677	[]
C0002712	['amylase']
C0002716	['Amyloid']
C0002721	['Serum Amyloid P-Component']
C0002722	['Amyloid Protein AA']
C0002723	['Serum amyloid A protein']
C0002727	[]
C0002791	['Anaphylatoxins']
C0002823	['ancrod']
C0002843	['Androgen-Binding Proteins']
C0002844	['Androgens']
C0002845	['Androgens, Synthetic']
C0002854	['Androstanes']
C0002860	['androstenedione']
C0002865	['androsterone']
C0002976	[]
C0003001	[]
C0003006	['Angiotensin I']
C0003009	['angiotensin II']
C0003011	[]
C0003012	[]
C0003013	[]
C0003016	[]
C0003017	['Angiotensinogen']
C0003018	['Angiotensins']
C0003039	[]
C0003134	[]
C0003136	[]
C0003168	['Anthranilate Phosphoribosyltransferase']
C0003169	['Anthranilate Synthase']
C0003170	[]
C0003241	['Antibodies']
C0003242	['Antibodies, Anti-Idiotypic']
C0003243	['Antibodies, Antinuclear']
C0003244	[]
C0003245	[]
C0003246	['Helminth Antibodies']
C0003248	['Heterophile Antibodies']
C0003250	['Monoclonal Antibodies']
C0003251	[]
C0003252	[]
C0003253	[]
C0003268	[]
C0003284	[]
C0003311	[]
C0003313	['Immune complex']
C0003316	[]
C0003320	['Antigens']
C0003321	[]
C0003322	['CD Antigens']
C0003323	['CD4 Antigens']
C0003324	['Differentiation Antigens']
C0003326	[]
C0003327	[]
C0003329	[]
C0003330	[]
C0003331	[]
C0003333	[]
C0003334	[]
C0003335	[]
C0003336	[]
C0003337	[]
C0003338	[]
C0003339	['Surface Antigens']
C0003340	[]
C0003341	[]
C0003342	[]
C0003343	['Viral Tumor Antigens']
C0003368	[]
C0003369	[]
C0003370	['Antilymphocyte Globulin']
C0003371	['antilymphocyte immunoglobulin']
C0003372	['Antilymphocyte Serum']
C0003410	['Antiplasmin']
C0003421	[]
C0003435	['Antistreptolysin']
C0003436	['Antistreptolysin O']
C0003442	['lymphocyte immune globulin, anti-thymocyte globulin']
C0003445	['Antitoxins']
C0003450	['Antivenin']
C0003521	[]
C0003574	[]
C0003589	[]
C0003590	['Apoferritins']
C0003591	['Apolipoproteins']
C0003592	['Apolipoproteins A']
C0003593	['Apolipoproteins B']
C0003594	['Apolipoproteins C']
C0003595	['Apolipoprotein E']
C0003601	[]
C0003607	[]
C0003634	[]
C0003641	['aprotinin']
C0003652	['Apyrase']
C0003663	['Aquacobalamin']
C0003664	[]
C0003665	[]
C0003679	[]
C0003691	['Arachidonate 12-Lipoxygenase']
C0003692	['Arachidonate 15-Lipoxygenase']
C0003693	['Arachidonate 5-Lipoxygenase']
C0003694	[]
C0003762	['ARGINASE']
C0003763	['Arginase A1']
C0003764	[]
C0003765	['arginine']
C0003766	['Lysine Carboxypeptidase']
C0003768	['Arginine Kinase']
C0003775	['ARGININOSUCCINATE LYASE']
C0003776	['ARGININOSUCCINATE SYNTHASE']
C0003777	['Argininosuccinic Acid']
C0003778	['Arginine-tRNA Ligase']
C0003779	['argipressin']
C0003805	['Aromatase']
C0003806	['DOPA decarboxylase']
C0003899	[]
C0003927	['Aryl Hydrocarbon Hydroxylases']
C0003933	['Arylamine N-Acetyltransferase']
C0003938	[]
C0003939	[]
C0003940	['Arylsulfatases']
C0003942	['Aryl Sulfotransferase']
C0003967	['L-Ascorbate oxidase']
C0003968	['ascorbic acid']
C0003987	[]
C0003993	['asparaginase']
C0003995	['asparagine']
C0003997	['Aspartate-Ammonia Ligase']
C0004002	['Aspartate Transaminase']
C0004004	['Aspartate Ammonia-Lyase']
C0004006	['Aspartate Carbamoyltransferase']
C0004007	['Aspartate Kinase']
C0004008	[]
C0004009	[]
C0004010	[]
C0004011	['aspartate magnesium hydrochloride']
C0004012	['Aspartate-Semialdehyde Dehydrogenase']
C0004015	['aspartic acid']
C0004018	[]
C0004019	[]
C0004020	[]
C0004022	['Aspartate-tRNA Ligase']
C0004025	['Aspartylglucosylaminase']
C0004040	[]
C0004130	[]
C0004149	[]
C0004199	['ATP Citrate (pro-S)-Lyase']
C0004203	['ATP Phosphoribosyltransferase']
C0004204	['ATP Receptors']
C0004218	['GTP Pyrophosphokinase']
C0004221	[]
C0004266	[]
C0004338	[]
C0004358	['Autoantibodies']
C0004359	[]
C0004371	['Autolysin']
C0004409	[]
C0004416	[]
C0004434	[]
C0004460	[]
C0004525	['Azurin']
C0004549	[]
C0004588	[]
C0004596	[]
C0004625	[]
C0004627	[]
C0004630	[]
C0004632	['Bacterial Vaccines']
C0004638	[]
C0004641	['Bacteriocins']
C0004654	[]
C0004886	['BCG Vaccine']
C0004891	['Fusion Proteins, bcr-abl']
C0004905	['beclomethasone']
C0004920	[]
C0004954	['belladonna alkaloids']
C0004965	['Bence Jones Protein']
C0004966	[]
C0004967	[]
C0005080	[]
C0005105	['Benzylamine Oxidase']
C0005110	[]
C0005112	[]
C0005148	['beta-1 Interferon']
C0005149	['beta-2 Microglobulin']
C0005151	[]
C0005153	[]
C0005157	['beta Globulin']
C0005160	[]
C0005161	[]
C0005173	[]
C0005186	['beta-Actin']
C0005187	[]
C0005194	['Beta-amylase']
C0005198	[]
C0005203	[]
C0005204	['beta-crystallin B2']
C0005205	[]
C0005210	['beta-Endorphin']
C0005211	['beta-Endorphin Receptor']
C0005213	['beta-Enolase']
C0005217	[]
C0005218	[]
C0005219	[]
C0005220	['beta-Galactosidase']
C0005221	['beta-Globins']
C0005223	['beta-Glucosidase']
C0005237	[]
C0005238	[]
C0005239	[]
C0005240	[]
C0005241	[]
C0005244	[]
C0005248	['beta Lactoglobulin']
C0005249	[]
C0005250	[]
C0005251	[]
C0005252	[]
C0005253	[]
C0005254	[]
C0005255	[]
C0005261	['Melanocyte-Stimulating Hormone, beta']
C0005270	['BETA-N-ACETYLHEXOSAMINIDASE']
C0005280	[]
C0005281	['beta-Spectrin']
C0005286	['beta-Thromboglobulin']
C0005287	['beta tocopherol']
C0005289	['beta-Trypsin']
C0005290	['beta-Tubulin']
C0005294	['beta-Very-Low-Density Lipoproteins']
C0005308	['betamethasone']
C0005310	['betamethasone acetate']
C0005390	['Bile Acids']
C0005391	['Bile Acids and Salts']
C0005402	[]
C0005404	['bile salts']
C0005433	['Bilin']
C0005437	['Bilirubin']
C0005444	[]
C0005445	[]
C0005446	[]
C0005456	['Binding Sites']
C0005457	[]
C0005492	['Bioflavonoids']
C0005496	[]
C0005497	[]
C0005498	[]
C0005515	['Biological Factors']
C0005522	['Biological Products']
C0005525	['Biological Response Modifiers']
C0005554	[]
C0005562	['Biopterin']
C0005575	['biotin']
C0005651	['Bisphosphoglycerate Mutase']
C0005789	['Blood Coagulation Factor']
C0005804	['Blood Group Antigens']
C0005805	[]
C0005832	[]
C0005875	[]
C0005919	['Bombesin']
C0006044	['Botulinum Antitoxin']
C0006051	['botulinum toxin type B']
C0006052	[]
C0006054	[]
C0006062	[]
C0006070	[]
C0006083	[]
C0006100	['Bradykinin']
C0006136	[]
C0006188	['Brinolase']
C0006217	['bromelains']
C0006232	[]
C0006307	[]
C0006360	['Bufotenin']
C0006365	[]
C0006529	[]
C0006558	['C-Peptide']
C0006560	['C-reactive protein']
C0006599	[]
C0006606	[]
