C0000052	['1,4-alpha-Glucan Branching Enzyme']
C0293155	[]
C0293161	[]
C0293163	[]
C0293192	[]
C0293198	[]
C0293202	[]
C0293205	[]
C0293222	[]
C0293226	['Host Cell Factor C1']
C0293228	[]
C0293232	[]
C0293237	['Large Neutral Amino Acid-Transporter 1']
C0293252	[]
C0293255	[]
C0293265	[]
C0293270	[]
C0293275	[]
C0293281	[]
C0293304	[]
C0293307	[]
C0293318	[]
C0293328	['vesicular transport factor p115']
C0293342	[]
C0293344	[]
C0293346	[]
C0293354	[]
C0293359	['insulin lispro']
C0293360	[]
C0293361	[]
C0293375	[]
C0293378	[]
C0293381	[]
C0293382	[]
C0293384	[]
C0293388	[]
C0293390	[]
C0293392	[]
C0293405	[]
C0293410	[]
C0293416	[]
C0293421	[]
C0293426	[]
C0293433	[]
C0293439	[]
C0293441	[]
C0293442	['major vault protein']
C0293456	[]
C0293457	[]
C0293458	[]
C0293459	[]
C0293460	[]
C0293466	[]
C0293468	[]
C0293472	[]
C0293494	['dissimilatory sulfite reductase']
C0293508	[]
C0293518	[]
C0293523	[]
C0293529	[]
C0293535	[]
C0293561	[]
C0293564	['CCXCR1 receptor, human']
C0293566	[]
C0293615	[]
C0293619	[]
C0293620	[]
C0293621	[]
C0293624	['Thyroid hormone receptor alpha']
C0293650	['atrial natriuretic factor receptor A']
C0293655	[]
C0293683	[]
C0293686	['Bad protein']
C0293708	[]
C0293714	[]
C0293724	['ZFP36L2 protein, human']
C0293734	[]
C0293737	[]
C0293742	['Stem bromelain']
C0293743	[]
C0293750	[]
C0293758	[]
C0293760	['MAP Kinase Kinase 3']
C0293775	['ran-binding protein 1']
C0293779	[]
C0293791	[]
C0293793	[]
C0293797	[]
C0293807	[]
C0293863	[]
C0293865	[]
C0293866	[]
C0293868	[]
C0293871	[]
C0293872	[]
C0293873	[]
C0293879	[]
C0293902	[]
C0293907	[]
C0293915	[]
C0293919	[]
C0293921	[]
C0293927	[]
C0293929	[]
C0293930	[]
C0293962	[]
C0293965	[]
C0293968	[]
C0293969	['pralmorelin']
C0293970	[]
C0293979	[]
C0294024	[]
C0294028	['BRCA2 Protein']
C0294031	[]
C0294033	[]
C0294036	[]
C0294049	[]
C0294057	['protein kinase N1']
C0294096	['germ cell nuclear factor']
C0294105	[]
C0294107	[]
C0294108	[]
C0294114	[]
C0294115	[]
C0294119	[]
C0294121	['Eukaryotic Translation Initiation Factor 3, Subunit 6']
C0294131	[]
C0294145	[]
C0294154	['activated protein C receptor']
C0294169	[]
C0294172	[]
C0294175	[]
C0294192	[]
C0294201	[]
C0294209	['LIM Domain Kinase 1']
C0294268	[]
C0294270	[]
C0294273	['LIMK1 protein, human']
C0294276	['DDR1 protein, human']
C0294279	[]
C0294292	['ZBTB16 protein, human']
C0294297	[]
C0294315	[]
C0294323	[]
C0294325	[]
C0294327	[]
C0294328	[]
C0294331	[]
C0294333	[]
C0294344	[]
C0294348	[]
C0294361	['cardiotrophin 1']
C0294389	[]
C0294463	[]
C0294465	[]
C0294468	[]
C0294479	[]
C0294488	[]
C0294505	[]
C0294517	[]
C0294520	[]
C0294528	[]
C0294530	[]
C0294532	[]
C0294533	[]
C0294538	[]
C0294541	[]
C0294552	[]
C0294567	['4-hydroxybenzoyl-CoA thioesterase']
C0294593	[]
C0294597	[]
C0294601	[]
C0294603	[]
C0294611	[]
C0294613	[]
C0294615	[]
C0294620	[]
C0294626	[]
C0294630	[]
C0294643	[]
C0294646	[]
C0294656	[]
C0294658	[]
C0294659	[]
C0294660	[]
C0294661	[]
C0294663	[]
C0294667	[]
C0294669	[]
C0294671	[]
C0294679	[]
C0294681	[]
C0294689	[]
C0294699	[]
C0294706	[]
C0294708	[]
C0294711	[]
C0294718	[]
C0294737	[]
C0294744	[]
C0294745	[]
C0294748	[]
C0294752	[]
C0294753	[]
C0294776	['melanin-concentrating hormone receptor']
C0294780	[]
C0294796	[]
C0294802	[]
C0294833	[]
C0294839	[]
C0294847	[]
C0294853	[]
C0294861	[]
C0294863	[]
C0294869	['RAN GTPase Activating Protein 1']
C0294871	[]
C0294876	[]
C0294883	[]
C0294901	[]
C0294909	[]
C0294915	[]
C0294917	[]
C0294929	[]
C0294933	[]
C0294934	['chromokinesin']
C0294958	[]
C0294959	[]
C0295003	[]
C0295019	[]
C0295022	['TNF receptor-associated factor 3']
C0295027	[]
C0295036	[]
C0295040	[]
C0295043	[]
C0295068	[]
C0295071	[]
C0295080	[]
C0295082	[]
C0295104	[]
C0295130	[]
C0295163	[]
C0295166	['STAT2 Transcription Factor']
C0295191	[]
C0295195	[]
C0295206	[]
C0295208	[]
C0295209	[]
C0295210	[]
C0295219	[]
C0295247	[]
C0295254	[]
C0295259	[]
C0295261	[]
C0295263	[]
C0295265	[]
C0295274	[]
C0295277	['Nuclear Receptor Subfamily 2, Group C, Member 1']
C0295291	['ERG protein, human']
C0295301	[]
C0295305	['MPEG1 protein, human']
C0295307	[]
C0295309	[]
C0295313	[]
C0295315	[]
C0295320	[]
C0295322	[]
C0295334	[]
C0295336	['N-acetylgalactosamine-4-O-sulfotransferase']
C0295339	[]
C0295342	['neurotrimin']
C0295345	[]
C0295352	['Serotonin 5-HT-3 Receptor']
C0295354	[]
C0295363	[]
C0295368	[]
C0295385	[]
C0295398	['AUH protein, human']
C0295401	[]
C0295415	[]
C0295432	['Wnt11 protein, zebrafish']
C0295491	[]
C0295499	[]
C0295501	[]
C0295504	[]
C0295508	[]
C0295525	[]
C0295526	[]
C0295532	[]
C0295562	[]
C0295564	[]
C0295565	[]
C0295568	[]
C0295572	[]
C0295575	[]
C0295580	[]
C0295639	[]
C0295689	[]
C0295696	[]
C0295699	[]
C0295708	['Kutapressin']
C0295748	['thymidine kinase 1']
C0295769	[]
C0295774	[]
C0295777	[]
C0295781	['UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase']
C0295782	[]
C0295825	[]
C0295867	[]
C0295870	[]
C0295880	[]
C0295885	[]
C0295888	[]
C0295892	['WNT7A protein, human']
C0295921	['Excitatory Amino Acid Transporter 2']
C0295924	[]
C0295926	[]
C0295942	[]
C0295950	[]
C0295952	[]
C0295967	['Activated-Leukocyte Cell Adhesion Molecule']
C0295973	[]
C0295974	[]
C0295976	[]
C0295977	[]
C0295985	[]
C0295986	[]
C0295989	[]
C0296016	[]
C0296018	[]
C0296041	[]
C0296052	[]
C0296057	[]
C0296060	[]
C0296071	[]
C0296072	[]
C0296073	[]
C0296084	[]
C0296086	[]
C0296089	[]
C0296106	[]
C0296107	[]
C0296108	[]
C0296112	[]
C0296123	[]
C0296129	[]
C0296144	[]
C0296146	[]
C0296148	[]
C0296153	[]
C0296154	[]
C0296157	[]
C0296159	[]
C0296194	[]
C0296208	[]
C0296219	[]
C0296228	[]
C0296231	[]
C0296245	[]
C0296250	['SH2 domain-containing leukocyte protein, 76-kDa']
C0296254	[]
C0296258	[]
C0296259	[]
C0296263	['Epiregulin']
C0296266	[]
C0296274	[]
C0296277	['CD83 antigen']
C0296286	[]
C0296303	[]
C0296305	[]
C0296314	[]
C0296346	['Fas-Associated Death Domain Protein']
C0296348	[]
C0296355	[]
C0296356	[]
C0296375	[]
C0296376	[]
C0296383	[]
C0296386	[]
C0296390	[]
C0296446	[]
C0296477	[]
C0296490	[]
C0296494	[]
C0296496	[]
C0296498	[]
C0296499	[]
C0296517	['bak protein']
C0296537	['KIR2DL3 protein, human']
C0296551	[]
C0296554	[]
C0296562	[]
C0296571	[]
C0296573	[]
C0296577	[]
C0296580	[]
C0296584	[]
C0296586	[]
C0296594	['checkpoint kinase 2']
C0296598	['glyceraldehyde-3-phosphate ferredoxin oxidoreductase']
C0296606	[]
C0296611	[]
C0296613	[]
C0296632	[]
C0296634	[]
C0296641	[]
C0296644	['PTS1 receptor']
C0296649	['Wilson disease protein']
C0296651	[]
C0296653	[]
C0296664	[]
C0296674	['hemoglobin Broussais']
C0296706	[]
C0296708	[]
C0296709	[]
C0296711	[]
C0296719	['Receptor, Adrenergic, alpha-2C']
C0296735	['adrenomedullin receptor']
C0296739	[]
C0296749	[]
C0296762	[]
C0296776	[]
C0296780	[]
C0296782	[]
C0296784	[]
C0296790	['CD100 antigen']
C0296793	[]
C0296796	[]
C0296802	[]
C0296813	[]
C0296821	[]
C0296824	[]
C0296825	[]
C0296826	[]
C0296827	[]
C0296829	[]
C0296833	[]
C0296845	['Cyclin-Dependent Kinase Inhibitor p57']
C0296863	['MCM5 protein, human']
C0296876	[]
C0296878	[]
C0296888	[]
C0296903	[]
C0296915	[]
C0296918	[]
C0296923	[]
C0296927	[]
C0296934	[]
C0296936	['GRB10 Adaptor Protein']
C0296949	[]
C0296980	[]
C0296983	[]
C0296995	[]
C0296997	[]
C0297011	[]
C0297014	[]
C0297022	[]
C0297023	[]
C0297024	[]
C0297029	[]
C0297032	[]
C0297041	[]
C0297047	[]
C0297052	[]
C0297065	['nuclear pore complex protein 98']
C0297173	[]
C0297177	[]
C0297197	['lamina-associated polypeptide 2']
C0297202	[]
C0297215	[]
C0297217	[]
C0297223	[]
C0297226	[]
C0297241	['neuroligin 1']
C0297260	[]
C0297261	[]
C0297262	[]
C0297263	[]
C0297285	[]
C0297287	[]
C0297294	[]
C0297329	[]
C0297331	['tartrate-resistant acid phosphatase']
C0297333	['toluene 2-monooxygenase']
C0297342	[]
C0297354	[]
C0297357	[]
C0297364	['AAMP protein, human']
C0297369	[]
C0297377	[]
C0297379	[]
C0297383	[]
C0297401	[]
C0297405	[]
C0297414	[]
C0297418	['transcriptional intermediary factor 1']
C0297427	[]
C0297431	[]
C0297434	['Integrin alpha3']
C0297437	[]
C0297439	['nuclear receptor subfamily 1, group H, member 3']
C0297443	[]
C0297455	[]
C0297457	[]
C0297460	[]
C0297464	[]
C0297466	[]
C0297473	[]
C0297486	[]
C0297495	[]
C0297498	['heparin-glucosamine 3-O-sulfotransferase']
C0297504	[]
C0297505	['osteoblast cadherin']
C0297511	['PRDM2 protein, human']
C0297513	['NeuroD protein']
C0297515	[]
C0297517	[]
C0297523	['DEC-205 receptor']
C0297526	[]
C0297538	[]
C0297547	['Gluconate 5-dehydrogenase']
C0297551	[]
C0297553	[]
C0297556	[]
C0297562	[]
C0297566	[]
C0297575	[]
C0297587	['2-deoxyglucose-6-phosphatase']
C0297589	[]
C0297607	[]
C0297609	[]
C0297614	[]
C0297639	[]
C0297643	[]
C0297649	[]
C0297654	[]
C0297660	[]
C0297661	[]
C0297670	[]
C0297671	[]
C0297673	[]
C0297674	['cyclin A2']
C0297681	['VAV2 Protein']
C0297697	[]
C0297700	[]
C0297709	[]
C0297740	[]
C0297753	[]
C0297760	[]
C0297765	[]
C0297803	[]
C0297805	[]
C0297807	[]
C0297810	[]
C0297812	[]
C0297817	['ribonucleotide reductase M2']
C0297826	[]
C0297838	[]
C0297854	['MAP Kinase Kinase 5']
C0297858	['somatostatin receptor 2']
C0297862	[]
C0297866	[]
C0297880	[]
C0297882	['BPHL protein, human']
C0297890	['STAT6 protein, human']
C0297893	['STAT6 Transcription Factor']
C0297896	[]
C0297921	[]
C0297923	[]
C0297932	[]
C0297951	['glutathione gamma-glutamylcysteinyltransferase']
C0297955	[]
C0297978	[]
C0297981	['RIPK1 protein, human']
C0297982	[]
C0297984	[]
C0297992	[]
C0297996	[]
C0297999	[]
C0298011	[]
C0298021	[]
C0298022	[]
C0298036	[]
C0298045	[]
C0298051	[]
C0298052	[]
C0298073	['early endosome antigen 1']
C0298091	[]
C0298094	[]
C0298121	[]
C0298180	[]
C0298190	[]
C0298192	[]
C0298198	['Galactonolactone dehydrogenase']
C0298221	[]
C0298252	[]
C0298266	[]
C0298267	[]
C0298268	[]
C0298270	[]
C0298274	[]
C0298278	[]
C0298280	[]
C0298292	[]
C0298297	[]
C0298298	[]
C0298300	[]
C0298306	[]
C0298309	[]
C0298311	[]
C0298313	[]
C0298321	['SSX Protein Family']
C0298323	[]
C0298324	[]
C0298340	['Integrin alpha5']
C0298350	[]
C0298374	[]
C0298375	[]
C0298377	[]
C0298378	[]
C0298410	[]
C0298416	[]
C0298418	[]
C0298426	[]
C0298429	[]
C0298431	[]
C0298434	[]
C0298455	[]
C0298468	[]
C0298491	[]
C0298494	[]
C0298507	[]
C0298509	[]
C0298516	[]
C0298517	[]
C0298518	[]
C0298527	[]
C0298534	[]
C0298537	['farnesoid X-activated receptor']
C0298538	[]
C0298547	[]
C0298593	[]
C0298594	[]
C0298641	[]
C0298652	[]
C0298655	[]
C0298686	[]
C0298690	['DUSP4 protein, human']
C0298692	['Sia(alpha2,3)Gal(beta1,4)GlcNAc alpha-2,8-sialyltransferase']
C0298697	[]
C0298709	[]
C0298733	[]
C0298735	[]
C0298739	[]
C0298751	[]
C0298760	[]
C0298779	[]
C0298822	[]
C0298840	[]
C0298844	[]
C0298846	[]
C0298849	[]
C0298855	[]
C0298864	[]
C0298870	[]
C0298871	[]
C0298878	[]
C0298880	[]
C0298888	['KTN1 protein, human']
C0298911	[]
C0298947	[]
C0298970	[]
C0298973	['Ataxia Telangiectasia Mutated Proteins']
C0298987	['cytochrome P-450 CYP1B1']
C0299004	[]
C0299022	[]
C0299028	[]
C0299032	[]
C0299038	[]
C0299048	['bone morphogenetic protein receptor type II']
C0299051	[]
C0299064	[]
C0299077	[]
C0299079	[]
C0299081	['metallocarboxypeptidase D']
C0299095	[]
C0299107	[]
C0299113	[]
C0299119	[]
C0299121	[]
C0299123	[]
C0299126	[]
C0299136	[]
C0299146	['interleukin-14 receptor']
C0299173	[]
C0299197	[]
C0299198	[]
C0299202	[]
C0299209	['INHA protein, human']
C0299212	['Presenilin-1']
C0299243	[]
C0299245	[]
C0299247	[]
C0299250	['Cytokine Inducible SH2-Containing Protein']
C0299255	[]
C0299278	[]
C0299296	[]
C0299300	[]
C0299306	[]
C0299312	[]
C0299317	[]
C0299335	[]
C0299337	[]
C0299341	[]
C0299348	['G-T mismatch-binding protein']
C0299360	[]
C0299392	[]
C0299393	['hemoglobin Dhofar']
C0299399	[]
C0299403	[]
C0299422	[]
C0299435	[]
C0299444	[]
C0299445	[]
C0299451	[]
C0299454	[]
C0299456	['ran-binding protein 2']
C0299487	[]
C0299490	[]
C0299492	[]
C0299505	['VHL protein, human']
C0299507	[]
C0299508	[]
C0299511	[]
C0299515	[]
C0299531	[]
C0299542	[]
C0299544	['Interferon Regulatory Factor 4']
C0299547	[]
C0299555	[]
C0299573	[]
C0299583	['leptin']
C0299595	[]
C0299596	[]
C0299600	[]
C0299607	[]
C0299609	[]
C0299611	[]
C0299613	[]
C0299615	[]
C0299617	[]
C0299619	[]
C0299622	['precorrin-6 methyltransferase']
C0299626	[]
C0299634	['BST2 protein, human']
C0299636	['somatostatin receptor 5']
C0299638	[]
C0299641	[]
C0299643	[]
C0299649	[]
C0299654	[]
C0299656	[]
C0299658	[]
C0299668	[]
C0299672	[]
C0299673	['oligoribonuclease']
C0299705	[]
C0299724	[]
C0299728	[]
C0299740	[]
C0299796	[]
C0299798	[]
C0299799	[]
C0299802	[]
C0299805	[]
C0299806	[]
C0299809	['PAK2 kinase']
C0299811	['Signaling Lymphocytic Activation Molecule Family Member 1']
C0299818	[]
C0299851	['MARK2 protein, human']
C0299854	[]
C0299856	['p21-Activated Kinase 1']
C0299859	[]
C0299863	[]
C0299867	[]
C0299869	['hemoglobin Anamosa']
C0299898	[]
C0299900	[]
C0299902	['CDR1 protein, Candida albicans']
C0299908	[]
C0299911	[]
C0299912	['Ara h 1 protein, Arachis hypogaea']
C0299913	[]
C0299917	[]
C0299949	[]
C0299950	[]
C0299982	[]
C0299984	[]
C0299986	[]
C0299988	[]
C0300002	[]
C0300012	[]
C0300019	[]
C0300022	[]
C0300029	[]
C0300040	[]
C0300046	[]
C0300052	[]
C0300061	['centromere protein F']
C0300070	[]
C0300073	[]
C0300074	[]
C0300081	[]
C0300102	[]
C0300108	[]
C0300113	[]
C0300127	[]
C0300134	['FAC1 protein']
C0300136	[]
C0300138	[]
C0300140	['EEF1A1 protein, human']
C0300147	[]
C0300172	[]
C0300173	[]
C0300189	[]
C0300192	[]
C0300194	[]
C0300201	[]
C0300210	[]
C0300217	[]
C0300228	['integrin beta8']
C0300229	[]
C0300247	[]
C0300249	[]
C0300252	['Plasma Membrane Calcium-Transporting ATPases']
C0300265	[]
C0300266	[]
C0300270	[]
C0300272	[]
C0300281	[]
C0300283	[]
C0300285	[]
C0300290	['Lhx3 protein']
C0300317	[]
C0300319	[]
C0300354	[]
C0300357	[]
C0300366	[]
C0300377	[]
C0300383	[]
C0300423	['cadherin 5']
C0300434	[]
C0300464	[]
C0300474	[]
C0300476	[]
C0300477	[]
C0300483	['SOX2 Transcription Factor']
C0300489	[]
C0300495	[]
C0300497	[]
C0300500	[]
C0300511	[]
C0300530	['MACF1 protein, human']
C0300533	['CD97 Antigen']
C0300554	[]
C0300567	[]
C0300570	[]
C0300582	[]
C0300589	[]
C0300603	[]
C0300605	['cytochrome P-450 CYP4B1']
C0300611	[]
C0300613	[]
C0300614	[]
C0300617	[]
C0300619	[]
C0300646	[]
C0300653	[]
C0300666	[]
C0300676	[]
C0300683	[]
C0300688	[]
C0300689	[]
C0300706	[]
C0300711	[]
C0300717	[]
C0300722	[]
C0300725	[]
C0300729	['CXCR5 protein, human']
C0300738	[]
C0300746	[]
C0300748	[]
C0300750	[]
C0300752	[]
C0300753	[]
C0300759	['Antigen in LW blood group system']
C0300761	[]
C0300779	[]
C0300791	['collapsin response mediator protein-2']
C0300793	[]
C0300804	['interleukin-15 receptor']
C0300807	['nuclear receptor interacting protein 1']
C0300821	['Phosphatidylethanolamine Binding Protein']
C0300824	['SNAP receptor']
C0300849	[]
C0300850	[]
C0300851	[]
C0300852	[]
C0300853	[]
C0300860	[]
C0300871	[]
C0300873	[]
C0300883	[]
C0300892	[]
C0300895	['ENO1 protein, human']
C0300917	[]
C0300965	[]
C0300966	[]
C0301028	[]
C0301258	['Plant alkaloid']
C0301272	[]
C0301278	[]
C0301279	[]
C0301414	[]
C0301450	[]
C0301451	[]
C0301453	[]
C0301454	[]
C0301456	[]
C0301458	[]
C0301459	['mumps skin test antigen']
C0301460	[]
C0301461	[]
C0301462	[]
C0301487	[]
C0301490	[]
C0301491	[]
C0301492	[]
C0301493	[]
C0301503	['rabies immune globulin, human']
C0301504	['Latrodectus mactans antivenin']
C0301505	[]
C0301506	[]
C0301508	['yellow fever vaccine']
C0301511	[]
C0301512	[]
C0301513	['human vaccinia immune globulin']
C0301515	[]
C0301519	[]
C0301520	[]
C0301532	['Multivitamin preparation']
C0301659	[]
C0301660	[]
C0301661	[]
C0301662	[]
C0301664	[]
C0301665	[]
C0301670	[]
C0301671	[]
C0301672	[]
C0301673	[]
C0301675	[]
C0301677	[]
C0301679	['alpha1 Globulin']
C0301681	[]
C0301682	[]
C0301684	['alpha-2 globulin']
C0301685	[]
C0301686	[]
C0301687	[]
C0301689	[]
C0301691	[]
C0301692	[]
C0301694	[]
C0301695	[]
C0301696	[]
C0301697	[]
C0301698	[]
C0301707	[]
C0301708	[]
C0301709	[]
C0301710	[]
C0301711	[]
C0301712	[]
C0301715	[]
C0301716	[]
C0301717	[]
C0301718	[]
C0301719	['Indirect reacting bilirubin']
C0301720	[]
C0301721	[]
C0301722	[]
C0301724	[]
C0301725	[]
C0301727	[]
C0301728	[]
C0301729	[]
C0301730	[]
C0301731	[]
C0301732	[]
C0301733	['Epsilon-chain hemoglobin, human']
C0301734	['Zeta-chain hemoglobin']
C0301735	[]
C0301736	['Hemoglobin Ann Arbor']
C0301737	['Hemoglobin Atago']
C0301738	[]
C0301739	[]
C0301740	['hemoglobin Inkster']
C0301741	[]
C0301742	[]
C0301743	[]
C0301744	[]
C0301745	[]
C0301746	[]
C0301747	['Hemoglobin Memphis']
C0301748	['Hemoglobin Mexico']
C0301749	['hemoglobin Q']
C0301750	['Hemoglobin Rampa']
C0301751	['Hemoglobin Russ']
C0301752	['Hemoglobin St. Claude']
C0301753	['Hemoglobin Sawara']
C0301754	['Hemoglobin Shimonoseki']
C0301755	['Hemoglobin Zambia']
C0301756	[]
C0301757	['Hemoglobin Alabama']
C0301758	['Hemoglobin Arlington Park']
C0301759	['Hemoglobin Brigham']
C0301760	['hemoglobin Buenos Aires']
C0301761	['Hemoglobin D-Bushman']
C0301762	['Hemoglobin Duarte']
C0301763	['Hemoglobin Edmonton']
C0301764	['Hemoglobin G-Galveston']
C0301765	['Hemoglobin G-Hsi-Tsou']
C0301766	['Hemoglobin G-Taiwan Ami']
C0301767	['Hemoglobin Hijiyama']
C0301768	['Hemoglobin Hiroshima']
C0301770	['Hemoglobin J-Cambridge']
C0301771	['Hemoglobin J-Sicilia']
C0301772	['hemoglobin J Taichung']
C0301773	['hemoglobin Khartoum']
C0301775	['Hemoglobin Lyon']
C0301776	['Hemoglobin Mequon']
C0301777	['hemoglobin Nagasaki']
C0301778	['Hemoglobin Niteroi']
C0301779	['Hemoglobin Ocho Rios']
C0301780	['Hemoglobin Okaloosa']
C0301781	['hemoglobin Olmsted']
C0301782	['hemoglobin Osu-Christiansborg']
C0301783	['Hemoglobin Perth']
C0301784	['hemoglobin Peterborough']
C0301785	['Hemoglobin Richmond']
C0301786	['Hemoglobin Rush']
C0301787	['Hemoglobin Savannah']
C0301788	['Hemoglobin St. Antoine']
C0301790	['Hemoglobin Sydney']
C0301791	['Hemoglobin Syracuse']
C0301792	['Hemoglobin Tochigi']
C0301793	['Hemoglobin Tours']
C0301794	['Hemoglobin Wien']
C0301795	[]
C0301796	[]
C0301797	['Hemoglobin F-Dickinson']
C0301799	['hemoglobin F-Urumqi']
C0301800	['Hemoglobin F-Malaysia']
C0301801	['Hemoglobin F-Port Royal']
C0301802	[]
C0301803	['Hemoglobin A>2< Flatbush']
C0301804	['Hemoglobin A2 Indonesia']
C0301805	['hemoglobin A2-Melbourne']
C0301806	[]
C0301807	['Hemoglobin P-Congo']
C0301810	['Alkaline phosphatase isoenzyme -- substance']
C0301811	['alkaline phosphatase, placental']
C0301812	['Pancreatic amylase']
C0301814	['Glycine formiminotransferase']
C0301817	['Prohormone (substance)']
C0301818	[]
C0301819	['Gonadal Hormones']
C0301821	['Hypothalamic inhibiting factor']
C0301822	['Adrenal medulla hormone (substance)']
C0301830	[]
C0301831	[]
C0301832	[]
C0301833	[]
C0301835	[]
C0301837	[]
C0301838	[]
C0301839	[]
C0301842	[]
C0301843	[]
C0301844	[]
C0301845	[]
C0301846	[]
C0301847	[]
C0301848	[]
C0301849	[]
C0301850	[]
C0301851	[]
C0301852	[]
C0301853	[]
C0301854	[]
C0301856	[]
C0301857	[]
C0301858	[]
C0301859	[]
C0301860	[]
C0301865	[]
C0301866	[]
C0301869	['Immunostimulating conjugate (antigen)']
C0301871	[]
C0301967	[]
C0301968	['Human leukocyte antigen HLA-Dw2 antigen']
C0301969	['Human leukocyte antigen HLA-Dw3 antigen']
C0301971	[]
C0301972	[]
C0301974	[]
C0301975	[]
C0301976	[]
C0301978	[]
C0301979	[]
C0301980	[]
C0301983	['Complement component C3b']
C0301984	[]
C0301986	[]
C0301987	[]
C0301991	[]
C0301993	[]
C0301994	[]
C0301997	[]
C0301999	[]
C0302001	[]
C0302003	[]
C0302006	[]
C0302008	[]
C0302013	[]
C0302014	[]
C0302016	[]
C0302017	[]
C0302018	[]
C0302019	[]
C0302036	[]
C0302038	['Blood group antigen A variant']
C0302039	['Blood group antigen A X']
C0302040	['Blood group antigen A m']
C0302042	['Blood group antigen B variant']
C0302043	[]
C0302050	[]
C0302052	['Blood group antigen N']
C0302053	['Blood group antigen U']
C0302054	[]
C0302055	[]
C0302058	['Blood group antibody']
C0302061	[]
C0302066	[]
C0302067	[]
C0302068	[]
C0302071	[]
C0302072	['Prothrombin antibody']
C0302073	[]
C0302074	[]
C0302075	[]
C0302077	[]
C0302078	[]
C0302079	[]
C0302080	[]
C0302081	[]
C0302119	[]
C0302236	['North American coral snake antivenin']
C0302242	[]
C0302243	['Peripheral myelin protein']
C0302583	['iron']
C0302959	[]
C0303275	[]
C0303960	[]
C0303961	[]
C0303962	[]
C0303963	[]
C0303964	[]
C0303990	[]
C0304016	['Robin - Plant Product or Poison']
C0304028	[]
C0304042	[]
C0304044	[]
C0304052	[]
C0304055	[]
C0304057	[]
C0304058	[]
C0304061	[]
C0304073	['Plant enzyme (substance)']
C0304153	[]
C0304164	[]
C0304165	[]
C0304166	[]
C0304167	[]
C0304168	[]
C0304169	[]
C0304170	[]
C0304171	[]
C0304172	[]
C0304173	[]
C0304175	[]
C0304176	['Conotoxins']
C0304178	[]
C0304179	[]
C0304180	[]
C0304181	[]
C0304182	[]
C0304183	[]
C0304184	[]
C0304186	[]
C0304187	[]
C0304188	[]
C0304189	[]
C0304192	[]
C0304193	[]
C0304194	['Zetekitoxin']
C0304195	[]
C0304197	[]
C0304198	[]
C0304199	[]
C0304200	[]
C0304201	['Cytotoxin venom']
C0304202	[]
C0304203	[]
C0304204	[]
C0304205	[]
C0304206	[]
C0304207	[]
C0304208	[]
C0304209	['Animal alkaloids']
C0304210	[]
C0304211	[]
C0304213	[]
C0304340	['Hydroxystilbamidine isethionate']
C0304492	[]
C0304625	[]
C0304783	['sodium estrone sulfate']
C0304812	['Pituitary hormone preparation']
C0304848	[]
C0304866	['Insulin, Beef']
C0304870	[]
C0304889	['halibut liver oil']
C0304894	['sodium folate']
C0304915	[]
C0304926	[]
C0304927	[]
C0304928	[]
C0304951	[]
C0304962	[]
C0304963	[]
C0305048	['polyvalent Crotalidae antivenin']
C0305050	[]
C0305052	['Gamma globulin serum']
C0305055	['lymphocyte immune globulin']
C0305057	['equine diphtheria antitoxin']
C0305058	['tetanus immune globulin, human']
C0305059	['Diphtheria and tetanus toxoid adsorbed']
C0305060	['Tetanus and diphtheria toxoid adsorbed for adult use']
C0305062	['tetanus toxoid vaccine, inactivated']
C0305065	['Polyvalent pneumococcal vaccine']
C0305066	['Human rabies vaccines']
C0305083	[]
C0305236	[]
C0305354	[]
C0305465	[]
C0305539	[]
C0305578	[]
C0305580	[]
C0305744	[]
C0305783	[]
C0306141	[]
C0306166	[]
C0306367	[]
C0306369	[]
C0306370	[]
C0306371	[]
C0306438	[]
C0306599	[]
C0306603	[]
C0306604	['lente insulin, pork']
C0306654	['Loestrin 21 1.5/30']
C0306655	['Loestrin 21 1/20']
C0306656	[]
C0306657	[]
C0306770	[]
C0306780	['Meruvax II']
C0306867	[]
C0306871	[]
C0306906	[]
C0306907	[]
C0306930	[]
C0306964	[]
C0307068	[]
C0307070	[]
C0307071	[]
C0307073	[]
C0307311	[]
C0307345	[]
C0307361	[]
C0307673	[]
C0307730	[]
C0307738	[]
C0307831	['TheraCys']
C0307905	[]
C0308069	[]
C0308100	[]
C0308101	[]
C0308222	['ACTH Gel']
C0308607	['Cardoxin']
C0308712	['Companion brand of veterinary vaccine']
C0308762	[]
C0308961	[]
C0309049	[]
C0309130	[]
C0309311	['Integrator, veterinary brand name drug']
C0309847	[]
C0310351	[]
C0310612	[]
C0310639	[]
C0310660	[]
C0310663	[]
C0310665	[]
C0310666	[]
C0310667	[]
C0310668	[]
C0310669	[]
C0310670	[]
C0310671	[]
C0310672	[]
C0310673	[]
C0310676	[]
C0310677	[]
C0310678	[]
C0310679	[]
C0310680	[]
C0310681	[]
C0310682	[]
C0310683	[]
C0310684	[]
C0310685	[]
C0310686	[]
C0310687	[]
C0310689	[]
C0310690	[]
C0310691	[]
C0310692	[]
C0310693	[]
C0310694	[]
C0310695	[]
C0310696	[]
C0310697	[]
C0310698	[]
C0310699	[]
C0310700	[]
C0310701	[]
C0310702	[]
C0310703	[]
C0310704	[]
C0310705	[]
C0310706	[]
C0310707	[]
