C0440492	[]
C0440493	[]
C0440494	[]
C0440495	[]
C0440496	[]
C0440497	[]
C0440498	[]
C0440499	[]
C0440500	[]
C0440501	[]
C0440502	[]
C0440503	[]
C0440504	[]
C0440505	[1]
C0440506	[]
C0440507	[]
C0440508	[]
C0440509	[]
C0440510	[1]
C0440511	[]
C0440512	[]
C0440513	[]
C0440514	[]
C0440516	[]
C0440517	[]
C0440518	[]
C0440519	[1]
C0440520	[]
C0440521	[]
C0440522	[]
C0440523	[]
C0440524	[]
C0440525	[]
C0440526	[1]
C0440527	[1]
C0440528	[]
C0440529	[]
C0440530	[1]
C0440531	[]
C0440532	[]
C0440533	[]
C0440534	[]
C0440535	[]
C0440536	[]
C0440537	[]
C0440538	[]
C0440539	[]
C0440540	[]
C0440541	[]
C0440542	[]
C0440543	[]
C0440544	[]
C0440545	[]
C0440546	[]
C0440547	[]
C0440548	[]
C0440549	[]
C0440550	[]
C0440551	[]
C0440552	[]
C0440553	[]
C0440554	[]
C0440555	[]
C0440556	[]
C0440557	[1]
C0440558	[]
C0440559	[1]
C0440560	[]
C0440561	[]
C0440563	[]
C0440565	[]
C0440566	[]
C0440567	[]
C0440568	[]
C0440569	[]
C0440570	[]
C0440571	[]
C0440572	[]
C0440573	[]
C0440574	[]
C0440575	[]
C0440576	[]
C0440577	[]
C0440578	[]
C0440579	[]
C0440580	[]
C0440581	[]
C0440582	[]
C0440583	[]
C0440584	[]
C0440585	[]
C0440587	[]
C0440588	[]
C0440589	[]
C0440590	[]
C0440591	[]
C0440592	[]
C0440593	[]
C0440594	[]
C0440595	[]
C0440596	[]
C0440597	[]
C0440598	[]
C0440599	[]
C0440600	[]
C0440601	[]
C0440602	[]
C0440603	[]
C0440604	[]
C0440605	[]
C0440606	[]
C0440607	[]
C0440608	[]
C0440609	[]
C0440610	[]
C0440611	[]
C0440612	[]
C0440613	[]
C0440614	[]
C0440615	[]
C0440616	[]
C0440617	[]
C0440618	[]
C0440619	[]
C0440620	[]
C0440621	[]
C0440622	[]
C0440623	[]
C0440624	[]
C0440625	[]
C0440626	[]
C0440627	[]
C0440628	[]
C0440629	[]
C0440630	[]
C0440631	[]
C0440632	[]
C0440633	[]
C0440634	[]
C0440635	[]
C0440636	[1]
C0440637	[]
C0440638	[]
C0440639	[]
C0440640	[]
C0440641	[]
C0440642	[]
C0440643	[]
C0440645	[]
C0440646	[]
C0440647	[]
C0440648	[]
C0440649	[1]
C0440650	[1]
C0440651	[1]
C0440652	[]
C0440653	[]
C0440654	[]
C0440655	[1]
C0440656	[1]
C0440657	[1]
C0440658	[]
C0440659	[]
C0440660	[1]
C0440661	[]
C0440662	[]
C0440663	[]
C0440664	[]
C0440665	[]
C0440666	[]
C0440667	[]
C0440668	[]
C0440669	[]
C0440670	[]
C0440671	[]
C0440672	[1]
C0440673	[]
C0440674	[]
C0440675	[1]
C0440676	[]
C0440677	[1]
C0440678	[]
C0440679	[1]
C0440680	[]
C0440681	[]
C0440682	[]
C0440683	[]
C0440684	[]
C0440685	[]
C0440686	[]
C0440687	[]
C0440688	[]
C0440689	[]
C0440690	[]
C0440691	[]
C0440692	[]
C0440693	[]
C0440694	[]
C0440695	[]
C0440696	[]
C0440697	[]
C0440698	[]
C0440699	[]
C0440700	[]
C0440701	[]
C0440702	[]
C0440703	[]
C0440704	[]
C0440705	[]
C0440706	[]
C0440707	[]
C0440708	[]
C0440709	[]
C0440710	[]
C0440711	[]
C0440712	[]
C0440713	[]
C0440714	[]
C0440715	[]
C0440716	[]
C0440717	[]
C0440718	[]
C0440719	[]
C0440720	[]
C0440721	[]
C0440722	[]
C0440723	[]
C0440724	[]
C0440725	[]
C0440726	[]
C0440727	[]
C0440728	[]
C0444051	[]
C0444052	[]
C0444060	[]
C0444905	[]
C0450238	[]
C0457459	[]
C0473780	[0, 5]
C0524628	[]
C0524889	[7, 9]
C0524890	[16, 19, 23]
C0524891	[17, 20, 24]
C0524892	[24, 27]
C0524893	[17]
C0524947	[]
C0525035	[]
C0525036	[]
C0525037	[13, 21, 23, 34, 46, 48, 60]
C0537026	[18, 19, 24]
C0546917	[]
C0546918	[]
C0555908	[]
C0555909	[]
C0555910	[]
C0555911	[]
C0555912	[]
C0555913	[]
C0555914	[]
C0555915	[]
C0555916	[]
C0555917	[]
C0555918	[]
C0596123	[2, 11]
C0596223	[2]
C0596707	[0]
C0597336	[2, 3, 4, 7, 8, 10]
C0598034	[9, 13, 20, 25, 28]
C0598467	[0]
C0598468	[0]
C0598492	[0]
C0598493	[]
C0598659	[]
C0598660	[]
C0598663	[]
C0598664	[]
C0598665	[]
C0598666	[0]
C0599294	[]
C0599295	[0, 3, 10, 18]
C0599770	[0]
C0599776	[0]
C0599797	[1, 3]
C0599798	[1]
C0599868	[]
C0599869	[]
C0599897	[]
C0599898	[]
C0599899	[1, 2, 3]
C0599900	[0]
C0599903	[]
C0600449	[0, 1]
C0600497	[]
C0677907	[17, 21]
C0678928	[]
C0678929	[]
C0678933	[0]
C0678941	[0, 2, 4, 5, 6, 7, 10]
C0683222	[1]
C0683223	[1]
C0694872	[1, 11, 13, 20, 21]
C0694873	[2, 9, 11]
C0694878	[3, 10, 17, 23]
C0694879	[3, 7, 14]
C0694883	[7, 13, 20]
C0694884	[6, 17, 18, 19, 21]
C0694887	[2]
C0694888	[8, 15, 18, 24]
C0694889	[0, 1, 6, 14, 17, 23, 26]
C0694890	[3, 12, 17, 18, 20, 24, 26]
C0694891	[10, 17, 22, 25]
C0694894	[2, 5, 13, 22]
C0694895	[3, 10, 12, 17, 22, 24]
C0694897	[4, 13, 15, 17]
C0694898	[7, 13, 22]
C0694899	[0]
C0702257	[]
C0702258	[]
C0702259	[]
C0702260	[]
C0751608	[3]
C0751993	[]
C0751994	[]
C0751995	[3, 19, 27]
C0751996	[2, 4]
C0751997	[]
C0751998	[]
C0752112	[]
C0796304	[10]
C0796350	[4, 8, 9]
C0796355	[20]
C0796386	[]
C0796516	[1]
C0796517	[1, 2]
C0796518	[3, 7, 14]
C0796520	[1, 4, 11]
C0796697	[]
C0796698	[]
C0805112	[]
C0805158	[]
C0805184	[]
C0805185	[]
C0805186	[]
C0805187	[]
C0805188	[]
C0805422	[]
C0805423	[]
C0805424	[]
C0805502	[]
C0805503	[]
C0805582	[]
C0806101	[]
C0806118	[]
C0806119	[]
C0806120	[]
C0806317	[]
C0806377	[]
C0806378	[]
C0807006	[]
C0807009	[]
C0807010	[]
C0807012	[]
C0807969	[]
C0807970	[]
C0808900	[6, 17]
C0808901	[2, 4, 13, 20]
C0809183	[8, 12]
C0809246	[0, 4, 10, 13]
C0812198	[0, 2, 3, 8, 10, 12]
C0812200	[]
C0812201	[1, 4]
C0812202	[]
C0812204	[0, 2]
C0812205	[]
C0812211	[17]
C0812214	[]
C0812215	[3, 7, 12]
C0812217	[]
C0812218	[]
C0812219	[]
C0812220	[]
C0812221	[]
C0812222	[1, 6, 11, 18]
C0812223	[]
C0812224	[10]
C0812227	[]
C0812228	[0, 2, 7, 15, 20, 24, 27]
C0812229	[8, 13]
C0812230	[1, 5, 12, 16]
C0812231	[6, 12, 17]
C0812233	[7, 14]
C0812234	[7, 21]
C0812235	[19]
C0812236	[16]
C0812237	[3, 6, 12, 16]
C0812238	[]
C0812239	[4, 13]
C0812241	[1, 11, 12, 18, 24]
C0812242	[1, 7, 11, 18]
C0812244	[1, 2, 4, 9]
C0812245	[12]
C0812246	[5, 11, 20]
C0812248	[10]
C0812250	[15]
C0812252	[1, 8]
C0812253	[0, 4, 9]
C0812257	[8, 12]
C0812258	[1]
C0812260	[5, 15, 17, 19, 22]
C0812261	[1, 10]
C0812262	[4, 11]
C0812263	[5, 10]
C0812264	[]
C0812265	[12, 15]
C0812266	[]
C0812267	[2, 6, 13]
C0812268	[5, 17]
C0812269	[5]
C0812270	[]
C0812271	[1, 7, 13, 20]
C0812273	[6, 11, 16, 18, 23]
C0812278	[4, 6, 14, 21]
C0812281	[8, 14, 21]
C0812283	[7]
C0812284	[10]
C0812285	[9, 13, 14, 18, 22]
C0812286	[16, 18]
C0812287	[6, 18]
C0812288	[9]
C0812289	[19]
C0812290	[7, 10]
C0812291	[2]
C0812292	[8]
C0812295	[5, 15]
C0812296	[6, 8]
C0812297	[20, 25]
C0812298	[4, 10, 15, 19]
C0812299	[8]
C0812300	[4]
C0812302	[]
C0812303	[14]
C0812304	[1, 5, 8, 15]
C0812305	[14, 19, 21, 29]
C0812306	[18]
C0812307	[9]
C0812308	[2, 3, 8, 9, 12, 15]
C0812309	[7, 9]
C0812310	[0, 2, 7, 12, 18]
C0812311	[7, 12]
