C0000735	[1, 9, 13, 15, 17]
C0000744	[17, 23, 26]
C0000774	[]
C0000809	[17, 28, 31, 34, 35, 36, 38]
C0000814	[28, 29, 32, 34]
C0000823	[]
C0000833	[22, 27, 29, 31, 32]
C0000880	[8, 9]
C0000889	[0, 14, 16, 19]
C0001125	[3, 14, 17, 19]
C0001126	[17, 18, 20, 24]
C0001127	[5, 19, 24]
C0001139	[5, 8]
C0001144	[9, 11, 13]
C0001145	[9, 10, 13, 16, 17, 39]
C0001163	[]
C0001169	[]
C0001175	[2, 8, 9, 10, 18, 30, 32, 33, 55, 58, 61]
C0001197	[6]
C0001202	[3]
C0001206	[21, 22]
C0001207	[]
C0001231	[5, 20, 21]
C0001247	[]
C0001249	[]
C0001255	[]
C0001261	[1, 17, 19]
C0001263	[6, 7]
C0001264	[9, 10]
C0001265	[]
C0001304	[]
C0001305	[]
C0001306	[1]
C0001308	[]
C0001309	[]
C0001311	[8, 9, 10]
C0001314	[1, 4, 6, 8, 9, 10, 11]
C0001317	[]
C0001327	[12]
C0001338	[]
C0001339	[15, 16, 18]
C0001342	[11]
C0001344	[10, 11]
C0001360	[8]
C0001361	[9, 10, 11]
C0001363	[0, 8, 10, 11]
C0001365	[]
C0001396	[]
C0001403	[10, 23, 25, 59]
C0001418	[14, 19, 26, 27]
C0001420	[11, 12]
C0001422	[3, 4, 6]
C0001427	[10]
C0001429	[9, 26, 27, 31, 32, 35]
C0001430	[14, 15, 21, 22, 23]
C0001431	[]
C0001432	[]
C0001433	[]
C0001442	[9, 10, 13]
C0001485	[]
C0001486	[10, 11, 12, 19, 21, 22]
C0001487	[]
C0001519	[7, 28]
C0001529	[12, 26, 31, 32]
C0001539	[]
C0001540	[]
C0001541	[]
C0001542	[]
C0001543	[]
C0001544	[]
C0001545	[]
C0001546	[10, 13, 14, 22, 24, 34, 35, 36]
C0001548	[]
C0001576	[1]
C0001577	[]
C0001614	[]
C0001618	[14]
C0001621	[2, 3, 5, 11, 17, 26, 28]
C0001622	[14, 30, 31, 38, 41, 45]
C0001623	[1]
C0001624	[6, 8, 21, 22, 25, 26, 28, 29, 30, 31, 32, 34]
C0001627	[25, 27, 29]
