C0000696	[0, 1, 2, 3]
C0000726	[0, 2, 3, 21, 22, 23, 26]
C0000739	[2, 3, 5, 7, 8, 12]
C0000741	[15, 18, 19, 26, 32, 33, 42, 60, 61, 63]
C0000780	[]
C0000905	[12, 15, 32, 58, 59, 60, 63]
C0000962	[0, 9, 20]
C0001074	[1, 3, 7, 12, 13, 14, 17, 19]
C0001162	[22, 26, 32, 40, 78, 82]
C0001208	[6, 11, 12, 13, 14]
C0001209	[0, 3, 9]
C0001302	[0, 2, 3, 4, 7, 9, 10, 11, 13, 15]
C0001428	[3, 8, 16, 17, 22, 30]
C0001527	[8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 24, 25, 28, 29, 38]
C0001575	[3, 7, 16]
C0001613	[9, 10, 12]
C0001625	[12, 14, 20, 22, 23, 27, 30, 31, 33, 41]
C0001629	[10, 12, 13]
C0001646	[8]
C0001728	[1]
C0001878	[2, 7, 11, 17, 18]
C0002386	[1, 2, 4, 6]
C0002708	[0, 7, 10, 12, 21, 24, 36, 37]
C0002759	[5, 6, 7, 10]
C0002760	[1, 3, 4, 6]
C0003055	[0, 1, 3]
C0003058	[0]
C0003086	[6, 13, 14, 15, 17, 20]
C0003087	[4, 11, 12, 13, 14, 16, 25, 31, 32]
C0003151	[3, 13, 18, 19, 20]
C0003153	[1]
C0003452	[3, 7, 8]
C0003461	[9, 10, 22, 24, 27]
C0003483	[11, 13, 18, 23, 24]
C0003484	[4, 9, 11, 16]
C0003489	[1, 9, 11, 13, 20]
C0003501	[8, 12, 13, 16, 17]
C0003584	[7]
C0003617	[13, 17, 23, 27]
C0003707	[12, 16]
C0003741	[1, 4, 6, 9, 10, 21]
C0003793	[]
C0003842	[1, 2, 5, 6, 13, 15, 22, 25, 37, 39, 43]
C0003847	[0, 3, 7, 8, 9]
C0003943	[5, 7, 8, 10, 11]
C0003956	[15, 17, 18, 20, 21]
C0004168	[10, 11, 12, 14]
C0004169	[7]
C0004170	[8, 9, 20, 25]
C0004247	[7, 10, 16, 18, 19, 20, 22, 24]
C0004302	[4, 6, 8, 15, 17, 18]
C0004308	[1, 3, 4]
C0004384	[9]
C0004385	[9]
C0004454	[1, 4, 5, 15, 20, 23, 40, 41]
C0004455	[4, 5, 7, 9, 12]
C0004456	[1, 6, 7, 9]
C0004457	[5, 10, 19, 20, 25]
C0004526	[3, 6, 9, 13]
C0004544	[]
C0004600	[4, 5, 13, 18, 21, 24]
C0004768	[3, 11, 14, 16, 21]
C0004781	[9, 10, 12, 16, 24]
C0004788	[3, 8, 11, 14, 21, 28, 30, 31, 33, 35]
C0004789	[14]
C0004799	[11, 12, 14, 15, 16]
C0004811	[6, 7, 8, 10, 12, 14]
C0004814	[]
C0004816	[6]
C0004895	[4, 5, 6, 7, 8]
C0005393	[]
C0005400	[9, 11, 13, 14, 15, 16, 17, 18, 22, 23, 26, 27]
C0005401	[7, 10, 12]
C0005423	[0, 5, 6, 8, 21, 22, 24, 26, 28, 30, 31, 32]
C0005682	[9, 11, 16, 20, 35, 37]
C0005847	[2, 12, 14, 16, 17, 19, 20, 23, 24, 25, 26, 29, 35, 36]
C0005853	[2]
C0005854	[11, 12, 16, 18, 20, 21, 23, 24, 25, 27]
C0005888	[]
C0005898	[0, 1, 3, 4, 9, 13, 14]
C0005931	[0, 1, 3]
C0005953	[0, 17, 20, 24, 25, 27]
C0005962	[0, 4, 6, 7]
C0006087	[5, 6, 12, 14, 20]
C0006090	[14, 17]
C0006094	[7, 11, 12, 13, 14, 17, 24, 26, 28]
C0006095	[1, 3, 5, 7, 11, 13, 15]
C0006104	[1, 2, 14, 17, 24, 26, 30, 32, 33, 39]
C0006121	[13, 15, 16, 18, 25, 26, 27]
C0006141	[3, 16, 18, 23, 30, 31, 32, 34, 41]
C0006205	[6, 9, 11, 13, 21]
C0006208	[2, 10, 18, 19, 21]
C0006255	[6, 10, 21, 24]
C0006257	[9, 11, 12]
C0006270	[0, 9, 12, 18, 22, 23]
C0006298	[4, 9, 10, 11, 16, 20, 21]
C0006323	[0, 2, 6, 8, 14]
C0006366	[6, 10, 12, 22, 27]
C0006382	[8, 14, 27, 28, 29]
C0006383	[5]
C0006440	[0, 8, 9, 12]
C0006441	[6, 10]
C0006497	[7, 15, 24, 26]
C0006549	[0, 1, 2, 3, 4, 5, 6]
C0006655	[8, 11, 13, 14, 24, 28, 29, 31]
C0006767	[1, 5, 6, 9, 10, 12]
C0006901	[1, 2, 8, 16]
C0006904	[3]
C0007144	[14, 19, 20, 24, 26, 28, 32]
C0007272	[6, 7, 19, 22, 25, 27, 28]
C0007275	[8, 13, 15, 17]
C0007276	[10, 15, 17, 19]
C0007277	[4, 5, 11, 18, 19]
C0007281	[1, 2, 3, 5, 9]
C0007285	[13, 15, 16, 19, 21, 29, 32]
C0007288	[]
C0007301	[2, 4, 5, 14, 16, 17, 22, 23, 25, 26, 27]
C0007303	[2, 5, 7]
C0007458	[10, 12, 15]
C0007461	[10, 11, 12, 14]
C0007473	[2, 7, 8, 12]
C0007531	[0, 2, 5, 6, 7, 8, 21, 24]
C0007569	[6, 11, 14, 17, 18, 20, 28, 30, 31, 32, 34, 36, 37, 39, 41, 43]
C0007571	[1, 7, 9]
C0007572	[9, 10, 13, 18, 21, 31]
C0007658	[3, 4]
C0007759	[9, 10]
C0007763	[0, 3, 4, 8, 11, 12, 15, 19, 21]
C0007764	[13, 14, 15]
C0007765	[3, 15, 18, 22, 24]
C0007769	[14, 15, 35, 42, 43, 52, 54]
C0007770	[2, 7, 8, 13, 14]
C0007776	[12, 16, 17, 20, 34, 40]
C0007783	[]
C0007793	[17]
C0007797	[3, 5, 10, 12]
C0007799	[2, 7, 8, 10, 13, 22, 23, 36, 41, 43]
C0007854	[6, 7, 10]
C0007874	[14, 17, 29, 33, 40, 41, 52, 55, 57]
C0007966	[2, 3, 10, 19, 26, 27, 28]
C0008114	[4, 8, 12, 13, 24, 27]
C0008483	[1, 5, 8]
C0008484	[2, 8, 9, 10]
C0008520	[0, 9, 11, 12, 17]
C0008524	[8, 10]
C0008779	[16, 20, 22]
C0008812	[1, 9]
C0008814	[]
C0008840	[9, 10]
C0008841	[3, 14, 15]
C0008910	[0, 8, 10, 12]
C0008913	[0, 11, 18, 23, 25, 28, 29, 30, 35]
C0008919	[5, 7, 8, 9, 11, 12, 14, 15]
C0008984	[2, 5, 16]
C0009191	[4]
C0009194	[21, 29]
C0009195	[2, 10, 16, 17]
C0009196	[]
C0009198	[]
C0009201	[4, 6, 9, 10, 12, 19, 22, 23]
C0009368	[4, 14, 16, 22, 23, 24]
C0009424	[]
C0009437	[6, 14, 16, 17]
C0009758	[12, 15]
C0009780	[11, 13, 18, 19, 21, 22, 23]
C0010031	[12, 16, 17, 20, 21, 22, 24]
C0010040	[2, 3, 5]
C0010075	[0, 2, 4, 5, 6]
C0010085	[3]
C0010087	[4, 25]
C0010090	[22, 23, 25, 29]
C0010091	[0]
C0010092	[1, 8, 13, 14]
C0010097	[9, 11]
C0010265	[10, 11]
C0010268	[5, 10, 11, 18, 20, 21]
C0010271	[0, 2, 7, 10, 13, 14, 16, 19, 20, 22]
C0010272	[0, 1, 4, 7, 9, 13, 16, 17]
C0010316	[0, 1, 5, 9, 11]
C0010323	[9, 11]
C0010352	[3, 5, 6, 8, 9]
C0010482	[1, 2, 9, 11, 15, 17, 20]
C0010672	[7, 8, 10]
C0011106	[7, 11, 13]
C0011128	[14, 22]
C0011193	[18]
C0011325	[0, 10, 12, 13, 14, 15, 16]
C0011387	[0]
C0011399	[5, 6, 7, 8, 13, 15, 19, 24, 25]
C0011403	[12, 23, 24]
C0011416	[0, 2, 3]
C0011443	[8, 14]
C0011444	[11, 12]
C0011646	[1, 5, 6, 10, 18, 20]
C0011665	[0, 3, 6]
C0011666	[0, 10, 12, 13]
C0011980	[18, 20, 26, 28, 29, 30]
C0012144	[1, 11, 12, 14, 16]
C0013055	[2, 9]
C0013075	[1, 4, 9, 23, 28, 35]
C0013293	[]
C0013294	[]
C0013303	[3, 15, 17, 20]
C0013313	[10, 11, 14, 16]
C0013443	[2, 4, 9, 11, 18, 23, 28, 31, 32, 38]
C0013444	[6, 8, 10, 20, 21, 23, 25, 26, 33, 41, 43, 45, 47, 53, 54]
C0013445	[0, 8, 9]
C0013450	[1, 3, 5, 7, 9, 12, 16, 27]
C0013453	[5, 6, 23, 30, 31, 33, 35, 39]
C0013455	[9, 15, 17]
C0013492	[4, 7, 11, 13, 14, 15]
C0013681	[1, 2, 4, 7]
C0013747	[10, 12, 14]
C0013762	[3, 5, 9, 10]
C0013769	[14]
C0013770	[7, 17, 18, 19, 20, 25]
C0014031	[]
C0014124	[2, 3, 9, 16]
C0014133	[10, 11, 12, 17, 21, 22]
C0014167	[6]
C0014168	[0, 1, 4]
C0014180	[0, 1, 2, 15, 19, 20, 21]
C0014257	[0, 2, 4, 10]
C0014258	[]
C0014259	[3, 4]
C0014260	[]
C0014261	[3, 4, 5]
C0014472	[10, 12]
C0014509	[3]
C0014520	[2, 15, 17]
C0014533	[2, 3, 4, 5, 20, 24]
C0014537	[1, 4]
C0014540	[4, 5, 17, 20]
C0014570	[1, 4, 5]
C0014596	[5]
C0014609	[2, 3, 6, 7, 8, 16, 20]
C0014865	[1, 3, 5]
C0014871	[0, 9, 14, 15, 18, 25, 27, 30, 32]
C0014876	[14, 16, 23, 27, 30]
C0015027	[10, 15, 18, 21]
C0015028	[9, 11, 12, 13]
C0015183	[1, 6, 8, 14, 16, 20, 22, 28]
C0015282	[0, 1, 2, 7, 12, 13, 16, 18]
C0015350	[0, 2, 4, 5, 10, 12, 14, 15, 17, 19, 24]
C0015352	[3, 5, 7, 10, 11, 14]
C0015372	[]
C0015385	[0, 8, 15, 20, 28, 30, 32, 38, 39]
C0015392	[3, 13, 17, 26, 29, 30, 35, 36, 37, 38, 39, 42, 43, 44, 45]
C0015420	[10, 12, 15, 18]
C0015422	[1, 3, 4, 6, 11, 15, 18]
C0015426	[7, 13, 16, 20, 22, 23, 28, 30, 31]
C0015450	[4, 13, 18, 24, 25, 27, 28, 29, 30, 32]
C0015455	[18, 19, 20, 21, 24, 25]
C0015460	[0, 3, 7, 8, 10, 13, 16, 17]
C0015462	[2, 5, 23, 26, 27, 48]
C0015560	[9, 11, 14, 24, 25, 39, 42, 52]
C0015641	[10, 13, 16, 17, 19, 21, 22, 23]
C0015642	[4, 6, 8]
C0015665	[0, 1, 3, 5]
C0015731	[7, 10, 11, 15, 16]
C0015801	[3, 6, 7, 14, 18, 19]
C0015808	[3, 6, 8, 9, 13]
C0015809	[6, 10, 13, 14, 15, 16]
C0015811	[10, 21, 25, 28, 29, 33]
C0015813	[3, 4, 7, 8, 9, 12, 19]
C0015815	[4, 5, 6, 7, 8, 9, 12, 13]
C0016068	[8, 18, 20]
