C0002064	['MSH', 'MDR', 'CHV', 'MSH', 'MDR', 'MSH', 'MEDCIN', 'SNOMEDCT_US', 'ICD10CM', 'MSH', 'MTHICD9', 'MDR', 'CHV', 'HPO', 'MDR', 'MEDCIN', 'NCI', 'NCI_FDA', 'NCI_NICHD', 'SNOMEDCT_US', 'OMIM']
C0002940	['SNOMEDCT_US', 'SNOMEDCT_US', 'MEDCIN', 'MDR', 'ICD10', 'ICD10AM', 'ICD10CM', 'ICD9CM', 'MEDCIN', 'HPO', 'MDR', 'LNC', 'MSH', 'MTH', 'CHV', 'CSP', 'ICPC2ICD10ENG', 'MDR', 'NCI', 'NCI_CDISC', 'NCI_FDA', 'NCI_NICHD', 'SNOMEDCT_US', 'NANDA-I', 'CHV', 'HPO', 'SNOMEDCT_US', 'HPO', 'MSH', 'LCH_NW', 'MEDLINEPLUS', 'PSY', 'OMIM', 'CHV', 'ICPC2ICD10ENG', 'HPO', 'HPO']
C0002994	['CHV', 'CHV', 'CHV', 'MDR', 'SNOMEDCT_US', 'MEDCIN', 'SNOMEDCT_US', 'SNOMEDCT_US', 'MDR', 'CHV', 'CSP', 'NOC', 'MDR', 'MSH', 'MTH', 'CHV', 'HPO', 'ICPC2ICD10ENG', 'MDR', 'MEDCIN', 'NCI', 'NCI_FDA', 'NCI_NICHD', 'SNOMEDCT_US', 'OMIM', 'MDR', 'MSH', 'MSH', 'ICD10CM', 'MDR', 'ICPC2P', 'ICD10AE', 'ICD10AMAE', 'LCH_NW', 'CHV', 'MTH', 'SNOMEDCT_US', 'MSH', 'MDR', 'ICD10', 'ICD10AM', 'ICPC2P', 'CHV', 'HPO', 'SNOMEDCT_US', 'ICPC2ICD10ENG', 'HPO', 'ICPC2ICD10ENG', 'MDR', 'MDR', 'MSH', 'MSH', 'ICPC2ICD10ENG', 'ICPC2ICD10ENG', 'ICPC2ICD10ENG', 'MSH', 'MDR', 'CHV', 'SNOMEDCT_US', 'CSP', 'ICD10CM', 'MTHICD9', 'MDR', 'MSH', 'ICPC2ICD10ENG', 'SNOMEDCT_US', 'CHV', 'MSH', 'ICPC2ICD10ENG', 'MDR', 'MDR', 'MDR', 'ICPC2P', 'MSH', 'CHV', 'HPO', 'HPO', 'ICPC2ICD10ENG', 'CHV', 'SNOMEDCT_US', 'CSP', 'ICD10CM', 'MSH', 'MDR', 'CHV', 'MTH', 'SNOMEDCT_US', 'MDR', 'SNOMEDCT_US', 'ICPC2ICD10ENG', 'MSH', 'CHV', 'MDR', 'MSH', 'ICPC2ICD10ENG', 'MSH']
C0003090	['NOC', 'MSH', 'CHV', 'SNOMEDCT_US', 'MEDCIN', 'SNOMEDCT_US', 'MEDCIN', 'ICD10AM', 'ICD10CM', 'ICD9CM', 'MDR', 'ICD10', 'MEDCIN', 'SNOMEDCT_US', 'MDR', 'ICD10AM', 'ICD9CM', 'MEDCIN', 'CSP', 'MDR', 'MSH', 'MTH', 'HPO', 'ICPC2ICD10ENG', 'LCH_NW', 'NCI', 'NCI_FDA', 'SNOMEDCT_US', 'OMIM', 'CHV', 'CHV', 'SNOMEDCT_US', 'CHV', 'CHV', 'SNOMEDCT_US', 'ICPC2ICD10ENG', 'MDR', 'MDR', 'OMIM', 'CHV', 'SNOMEDCT_VET', 'ICPC2P', 'ICPC2P', 'CHV', 'ICPC2ICD10ENG']
C0003130	['CHV', 'CSP', 'MDR', 'MSH', 'MTH', 'CHV', 'ICPC2ICD10ENG', 'MDR', 'MTH', 'NCI', 'NCI_NICHD', 'PSY', 'SNOMEDCT_US', 'SNOMEDCT_US', 'SNOMEDCT_US']
C0003132	['MDR', 'MSH', 'ICD9CM', 'CHV', 'SNOMEDCT_US', 'CHV', 'CHV', 'SNOMEDCT_US', 'MSH', 'SNOMEDCT_US', 'MSH', 'MDR', 'MTH', 'CHV', 'SNOMEDCT_US', 'CHV', 'MSH', 'MSH', 'MSH', 'CHV', 'MSH']
C0003860	['MSH', 'MSH', 'MEDCIN', 'SNOMEDCT_US', 'MDR', 'MDR', 'MSH', 'CSP', 'HPO', 'ICPC2ICD10ENG', 'ICPC2P', 'LCH_NW', 'MDR', 'MEDCIN', 'NCI', 'NCI_NICHD', 'SNOMEDCT_US', 'OMIM', 'ICPC2P', 'CHV', 'MDR', 'ICD10', 'ICD10AM', 'ICD10CM', 'ICD9CM', 'CHV', 'HPO', 'SNOMEDCT_US', 'MSH', 'MDR', 'MDR']
C0003960	['MSH', 'CHV', 'NCI', 'SNOMEDCT_US', 'CHV', 'SNOMEDCT_US', 'ICPC2ICD10ENG', 'ICPC2ICD10ENG', 'CHV', 'MSH', 'ICPC2ICD10ENG', 'SNOMEDCT_US']
C0004044	['MEDCIN', 'PSY', 'MDR', 'MSH', 'MTH', 'CHV', 'ICD10', 'ICD10AM', 'ICD10CM', 'ICD9CM', 'ICPC2ICD10ENG', 'LCH_NW', 'MDR', 'MEDCIN', 'MTH', 'NCI', 'NCI_NICHD', 'OMIM', 'SNOMEDCT_US', 'MSH', 'CHV', 'SNOMEDCT_US', 'ICD10CM', 'MDR', 'ICD10', 'ICD10AM', 'SNOMEDCT_US', 'CHV', 'NCI', 'CHV', 'SNOMEDCT_US', 'SNOMEDCT_US', 'CHV', 'MEDCIN', 'ICD10CM', 'CSP', 'MSH', 'PSY', 'MDR', 'ICPC2ICD10ENG', 'MEDCIN', 'NCI', 'CCS', 'CHV', 'SNOMEDCT_US', 'MSH', 'CHV']
C0004144	['MSH', 'CHV', 'MSH', 'MEDCIN', 'SNOMEDCT_US', 'MEDLINEPLUS', 'MSH', 'MTHICD9', 'NOC', 'LNC', 'MDR', 'MTH', 'CSP', 'HPO', 'ICD10CM', 'ICPC2ICD10ENG', 'ICPC2P', 'LCH_NW', 'MDR', 'MEDCIN', 'NCI', 'NCI_CDISC', 'NCI_CTCAE', 'NCI_NCI-GLOSS', 'NCI_NICHD', 'SNOMEDCT_US', 'OMIM', 'ICPC2P', 'CHV', 'MSH', 'MEDCIN', 'MTHICD9', 'MTHICD9', 'MDR', 'MEDCIN', 'CHV', 'SNOMEDCT_US', 'MSH', 'ICPC2ICD10ENG', 'ICPC2ICD10ENG', 'CHV', 'ICPC2P', 'MEDLINEPLUS', 'ICPC2P', 'SNOMEDCT_VET', 'CHV', 'CHV', 'MDR', 'CHV', 'MSH', 'CHV', 'SNOMEDCT_VET', 'ICPC2ICD10ENG', 'HPO', 'MSH', 'MSH', 'CHV', 'HPO', 'SNOMEDCT_US', 'SNOMEDCT_US', 'ICD10CM', 'MDR', 'ICD10', 'ICD10AM', 'ICD9CM', 'CHV', 'SNOMEDCT_US', 'ICPC2ICD10ENG']
