C0006861	['SCN', 'EQ', 'FN', 'EQ', 'ET', 'PN', 'PT', 'EQ', 'ET', 'EQ', 'EQ', 'ET', 'LPDN', 'LPN', 'PT', 'SY', 'ET', 'PM', 'ET', 'MH', 'PM', 'PM', 'PM']
C0007456	['FN', 'PEP', 'PT']
C0007949	['FN', 'EQ', 'ET', 'PEP', 'PT', 'SCN']
C0008028	['EQ', 'FN', 'PEP', 'PT', 'SCN']
C0008047	['ET', 'PEP']
C0008056	['FN', 'ET', 'LG', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'SCN', 'SY']
C0008112	['PEP', 'PM', 'ET', 'PM', 'PM']
C0008113	['PM', 'PEP', 'PM', 'PM']
C0008147	['FN', 'PEP', 'PT', 'FN', 'ET', 'PT', 'SCN', 'ET']
C0009311	['PM', 'PT', 'SY', 'MH', 'PT', 'PM', 'ET', 'PM', 'PM']
C0009401	['FN', 'SY', 'ET', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'PT', 'PT', 'SY']
C0009419	['ET', 'MH', 'PM', 'ET', 'PM']
C0009743	['SYGB', 'SY', 'SY', 'SYGB', 'ET', 'SY', 'ET', 'PM', 'PT', 'SYGB', 'ET', 'SY', 'EQ', 'PTGB', 'EQ', 'SCN', 'FN', 'ET', 'LPDN', 'LPN', 'PT', 'SY', 'EQ', 'PM', 'ET', 'MH']
C0010076	['MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'SCN', 'SY', 'SY', 'FN', 'PT']
C0010233	['ET', 'PM', 'FN', 'ET', 'MH', 'PN', 'PT', 'PT', 'SCN', 'PM', 'SY', 'SY']
C0010242	['PM', 'ET', 'PM', 'LPDN', 'LPN', 'ET', 'FN', 'PEP', 'PN', 'PT', 'PM', 'PM']
C0010243	['PM', 'PT', 'PT', 'ET', 'SY', 'LPDN', 'LPN', 'IN', 'PEP', 'PN', 'SY', 'SY', 'SY', 'PM']
C0010247	['ET', 'PT', 'ET', 'PN', 'SY', 'LPDN', 'LPN', 'PT', 'SCN', 'SY', 'PEP', 'SY', 'SY']
C0010825	['SY', 'ET', 'PT', 'SY', 'SY', 'PT', 'ET', 'SY', 'CN', 'DN', 'LA', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SCN', 'SY', 'SY', 'PM', 'PT', 'FN', 'SY', 'ET', 'PM', 'SY', 'SY', 'ET', 'SY', 'PM', 'PM']
C0011139	['PM', 'ET', 'PM', 'PT', 'MH', 'PM', 'PM', 'PM', 'ET', 'PM', 'PM', 'PM', 'PM']
C0011220	['ET', 'ET', 'SY', 'SY', 'SY', 'PM', 'SY', 'SY', 'ET', 'PM', 'PM', 'PM', 'SY', 'SY', 'FN', 'EQ', 'ET', 'LPDN', 'LPN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PM', 'EQ', 'ET', 'MH', 'PN', 'PT', 'SCN', 'SY', 'SY', 'PM']
C0011313	['SY', 'LPDN', 'LPN', 'PT', 'PT', 'SY', 'FN', 'PT', 'SY']
C0011315	['ET', 'PM', 'FN', 'LA', 'LG', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SCN', 'PM', 'PT', 'PM', 'PM', 'PM', 'PM', 'PM', 'PM']
C0012755	['FN', 'EQ', 'EQ', 'ET', 'ET', 'LPDN', 'LPN', 'PT', 'PT', 'PT', 'PM', 'SCN', 'MH', 'PM']
C0012917	['PM', 'PT', 'MH', 'PM', 'PM', 'PM', 'PM']
C0012923	['FN', 'SY', 'PM', 'PT', 'PT', 'PT', 'PT', 'SY', 'MH', 'PT', 'SY', 'PM', 'SY', 'SY', 'PM', 'SY']
C0013480	['EQ', 'SCN', 'LPDN', 'LPN', 'PN', 'PT', 'PT', 'EQ', 'SY']
C0013531	['ET', 'ET', 'ET', 'LPDN', 'LPN', 'MH', 'FN', 'ET', 'PT', 'PM']
C0013532	['ET', 'ET', 'LPDN', 'LPN', 'MH', 'ET', 'SY', 'SY', 'SY', 'FN', 'ET', 'PT', 'SY']
C0013534	['ET', 'PM', 'PT', 'ET', 'PT', 'SY', 'LPDN', 'LPN', 'ET', 'LPDN', 'LPN', 'PM', 'PN', 'PT', 'PT', 'SCN', 'SY', 'PEP', 'FN', 'PT', 'SCN']
C0013590	['EQ', 'FN', 'ET', 'MH', 'PT', 'SCN', 'PM', 'ET', 'PN', 'PM', 'EQ', 'ET', 'ET', 'SY', 'PM', 'EQ', 'SY', 'ET']
C0014045	['SY', 'LPDN', 'LPN', 'FN', 'PT', 'SY']
C0014046	['FN', 'ET', 'LG', 'LPDN', 'LPN', 'PT', 'PT', 'SCN', 'EQ', 'EQ', 'EQ', 'ET', 'ET', 'LPDN', 'LPN', 'SY', 'ET', 'ET', 'PM', 'MH', 'ET']
C0014047	['MH', 'ET', 'SY', 'LLT', 'EQ', 'FN', 'EQ', 'EQ', 'ET', 'IN', 'LPDN', 'LPN', 'PN', 'PT', 'PT', 'SCN', 'SU', 'ET']
C0014048	['MH', 'ET', 'FN', 'CN', 'ET', 'LG', 'LPDN', 'LPN', 'SCN', 'SY', 'SY', 'EQ', 'ET', 'PT', 'ET', 'ET', 'ET']
C0014049	['MH', 'ET', 'ET', 'ET', 'SY', 'EQ', 'EQ', 'ET', 'LPDN', 'LPN', 'PN', 'PT', 'SCN', 'SY', 'ET', 'FN', 'EQ', 'ET', 'PT', 'ET', 'ET']
C0014050	['MH', 'ET', 'ET', 'ET', 'ET', 'ET', 'ET', 'PM', 'ET', 'LG', 'LPDN', 'LPN', 'PT', 'SCN', 'SY', 'ET', 'FN', 'ET', 'PT', 'SY']
C0014051	['ET', 'PT', 'PT', 'MH', 'SY', 'ET', 'SY', 'ET']
C0014052	['PM', 'ET', 'PM', 'MH', 'PM', 'PM', 'SCN', 'ET', 'EQ', 'ET', 'PN', 'PT', 'ET']
C0014080	['ET', 'SY', 'ET', 'SY', 'FN', 'CN', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT']
C0014338	['SY', 'ET', 'PM', 'MH', 'PM', 'SY', 'ET', 'PM', 'ET', 'ET', 'FN', 'ET', 'PT', 'PM', 'CN', 'LPDN', 'LPN', 'PM', 'PM']
C0014383	['CN', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'SCN', 'SY', 'SY', 'EQ', 'PT', 'SY', 'FN', 'PT']
C0014384	['PM', 'MH', 'FN', 'LPDN', 'LPN', 'PM', 'PT', 'ET']
C0014644	['ET', 'ET', 'ET', 'ET', 'PM', 'PM', 'SY', 'ET', 'SY', 'PM', 'ET', 'SY', 'SY', 'ET', 'ET', 'PT', 'SY', 'SY', 'PT', 'CMN', 'LPDN', 'LPN', 'PM', 'PT', 'SY', 'SY', 'EQ', 'DN', 'ET', 'IN', 'PN', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'SY', 'SY', 'ET', 'MH', 'PM', 'ET', 'SY', 'SY', 'ET', 'SCN', 'FN', 'ET', 'EQ', 'ET', 'PT', 'PT', 'PT', 'SU', 'SY', 'EQ', 'ET', 'PM', 'SY', 'PM', 'SY', 'PM', 'PM', 'SY']
C0014656	['ET', 'SY', 'ET', 'ET', 'PM', 'ET', 'SY', 'SCN', 'FN', 'EQ', 'ET', 'PT', 'EQ', 'ET', 'CN', 'EQ', 'ET', 'LPDN', 'LPN', 'PN', 'SY', 'ET', 'MH', 'PM']
C0014662	['ET', 'ET', 'PTGB', 'FN', 'EQ', 'ET', 'LPDN', 'LPN', 'PT', 'PT', 'PT', 'SCN', 'MH', 'ET', 'ET', 'PM']
C0014665	['ET', 'ET', 'SCN', 'FN', 'EQ', 'ET', 'PT', 'EQ', 'ET', 'ET', 'SY', 'PM', 'EQ', 'CN', 'ET', 'LPDN', 'LPN', 'SY', 'EQ', 'SY', 'EQ', 'EQ', 'ET', 'MH', 'PM']
C0014666	['ET']
C0014667	['FN', 'LPDN', 'LPN', 'PEP', 'PT', 'SCN', 'EQ', 'ET', 'SY', 'EQ']
C0014668	['FN', 'EQ', 'PEP', 'PT', 'SY', 'LPDN', 'LPN', 'SCN']
C0014760	['ET', 'PEP', 'PM', 'ET', 'PM', 'PM', 'PM']
C0015763	['MH', 'PN', 'SY', 'FN', 'EQ', 'ET', 'LPDN', 'LPN', 'PT', 'SCN', 'SCN', 'SY', 'EQ']
C0015764	['ET', 'FN', 'ET', 'PT', 'PT', 'ET', 'MH', 'PN']
C0015766	['FN', 'ET', 'ET', 'PN', 'PT', 'SCN', 'PM', 'PEP', 'PM']
C0015767	['ET', 'PT', 'PM', 'PTGB', 'CN', 'EQ', 'LPDN', 'LPN', 'SY', 'FN', 'EQ', 'ET', 'ET', 'LPDN', 'LPN', 'PN', 'PT', 'PT', 'SCN', 'SY', 'PM', 'ET', 'PM', 'ET', 'SY', 'PM', 'MH', 'PM', 'PM', 'PM', 'PM']
C0016215	['SY', 'ET', 'SY', 'ET', 'SY', 'PM', 'ET', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'SCN', 'PM', 'PT', 'SY', 'FN', 'SY', 'PM', 'PM']
C0016515	['ET', 'MH', 'PT', 'PT', 'SCN', 'SY', 'EQ', 'PM', 'PT', 'FN', 'PT']
C0016630	['EQ', 'ET', 'PM', 'EQ', 'FN', 'EQ', 'EQ', 'ET', 'MH', 'PT', 'SCN', 'PM', 'EQ']
C0016720	['SY', 'SY', 'MH', 'PN', 'PT', 'ET', 'PT', 'PT', 'PM', 'ET', 'PM', 'PM']
C0017161	['SY', 'ET', 'ET', 'FN', 'ET', 'ET', 'PT', 'PM', 'PM', 'ET', 'PM', 'LPDN', 'LPN', 'MH', 'SY', 'ET']
C0018125	['PEP']
C0018252	['SY', 'PT', 'SY', 'PEP', 'PN', 'SY', 'PT', 'PM']
C0018311	['FN', 'PEP', 'PT']
C0018611	['FN', 'MH', 'PT', 'PT', 'SCN', 'ET', 'SY', 'PM', 'PM']
C0018895	['PM', 'PT', 'MH', 'PM', 'PM']
C0019089	['SYGB', 'ET', 'SY', 'ET', 'SCN', 'ET', 'EQ', 'EQ', 'FN', 'EQ', 'ET', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'EQ', 'SY']
C0019090	['SYGB', 'ET', 'SY', 'ET', 'SCN', 'FN', 'EQ', 'ET', 'PEP', 'PT']
C0019092	['FN', 'PT', 'SY', 'SY', 'SY', 'SY', 'LG', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'SY', 'PM', 'PT', 'SY', 'SY']
C0019094	['ET', 'MH', 'ET', 'SY', 'PT', 'ET', 'SCN', 'ET', 'SY', 'DN', 'ET', 'PT', 'ET', 'PN', 'SY', 'SY', 'ET', 'SY', 'FN', 'PT', 'EQ', 'SY']
C0019132	['FN', 'SY', 'MH', 'PT', 'PT', 'SCN', 'ET', 'PM', 'PT', 'ET']
C0019160	['FN', 'PT', 'SY', 'SY', 'ET', 'PM', 'MH', 'PN', 'PT', 'PT', 'SCN', 'SY', 'PM', 'SY', 'ET', 'PM']
C0019169	['PM', 'SY', 'SY', 'ET', 'SY', 'SY', 'SY', 'EQ', 'FN', 'EQ', 'DN', 'IN', 'LG', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SCN', 'SU', 'SY', 'EQ', 'PM', 'ET', 'EQ', 'EQ', 'SY', 'SY', 'PM']
C0019171	['ET', 'FN', 'SY', 'ET', 'PT', 'PT', 'SCN', 'ET', 'SY', 'EQ', 'MH', 'PN', 'ET']
C0019180	['ET', 'LPDN', 'LPN', 'PM', 'MH', 'PN']
C0019183	['MH', 'FN', 'EQ', 'EQ', 'ET', 'LPDN', 'LPN', 'PT', 'ET', 'PM', 'PM', 'ET', 'SCN', 'ET', 'ET', 'PM', 'ET', 'PM']
