C0079415	[1, 1, 1, 1]
C0079417	[1, 1, 1, 1, 1]
C0079419	[1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]
C0079420	[1, 1, 1, 1, 1, 1, 1, 1, 1]
C0079423	[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]
C0079424	[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]
C0079425	[1, 1, 1, 0, 1]
C0079427	[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]
C0079428	[1, 1, 1, 0, 1]
C0079429	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0079431	[1, 1, 1, 1]
C0079433	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0079471	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C0079472	[1, 1, 1, 1, 1]
C0079473	[1, 1, 1]
C0079525	[1, 1, 1, 1, 1, 1, 1]
C0079556	[1, 1, 1, 1, 0, 1, 1, 1]
C0079559	[1, 1, 1, 1, 0, 1, 1, 1]
C0079563	[1, 1, 1, 1, 0, 1, 1, 1]
C0079566	[1, 1, 1, 1, 0, 1, 1, 1]
C0079656	[1, 1, 1, 1, 1]
C0079657	[1, 1, 1]
C0079664	[1, 1, 1, 1, 1]
C0079666	[1, 1, 1, 1, 1]
C0079884	[1, 1, 1, 1, 1]
C0079886	[1, 1, 1, 1, 1]
C0079941	[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]
C0080117	[1, 1, 1, 1, 1]
C0080279	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]
C0080282	[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]
C0080285	[1, 1, 1]
C0080286	[1, 0, 1, 1]
C0080287	[1, 1, 1, 1, 1]
C0080288	[1, 1, 1]
C0080289	[1, 0, 1, 1]
C0080290	[1, 1, 1]
C0080291	[1, 1, 1, 1, 1]
C0080292	[1, 1, 1]
C0080293	[1, 1, 1, 0, 1, 1]
C0080294	[1, 1, 1, 1, 1]
C0080295	[1, 1, 1, 0, 1, 1]
C0080296	[1, 1, 1, 1, 1]
C0080298	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
C0085113	[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]
C0085114	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
C0085218	[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]
C0085238	[0, 1, 1, 1, 1, 1, 1, 1, 1]
C0085239	[0, 1, 0, 1, 1, 1]
C0085286	[1, 1, 1, 1, 1, 1, 1, 1]
C0085299	[1, 1, 1, 1]
C0085303	[0, 1, 1, 0, 1, 1]
C0085940	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
C0085943	[1, 1, 1]
C0086344	[0, 1, 0, 0, 0, 0]
C0086661	[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]
C0087140	[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1]
C0087142	[1, 0, 1, 1]
C0087143	[1, 1, 1]
C0144382	[1, 0, 1, 1, 0]
C0162508	[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]
C0162572	[1, 1, 1, 1]
C0162667	[1, 1, 1, 1]
C0162728	[1, 0, 1, 0, 1, 1, 1, 1]
C0162729	[1, 1, 1, 1]
C0162804	[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
C0162832	[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]
C0178657	[1, 1, 1, 0, 1, 0, 1]
C0178868	[0, 1, 0]
C0206256	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0206414	[1, 1, 0, 1, 1, 1, 1, 0]
C0206522	[0, 1, 1, 1]
C0221127	[1, 0]
C0242303	[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0242711	[1, 1, 1, 1]
C0242957	[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C0242965	[1, 1, 0, 1, 1, 1, 1]
C0242982	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0242983	[1, 1, 0, 1, 1, 1, 1]
C0242984	[1, 1, 1, 1, 1, 1, 1, 1, 1]
C0242987	[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]
C0242988	[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]
C0242989	[1, 1, 0, 1, 1, 1, 1]
C0242990	[1, 1, 1, 1, 1, 1]
C0242991	[0, 1, 1, 0, 0, 1, 1, 0, 0]
C0243035	[1, 1, 1]
C0243036	[0, 1, 1, 1, 0, 1, 0, 0]
C0243037	[1, 1, 1, 0, 1, 1, 1, 1]
C0249197	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
C0282641	[0, 1, 1, 1, 1, 1]
C0301973	[0, 0, 1]
C0302291	[0, 0, 1, 0, 0]
C0312655	[1, 0]
C0312656	[1, 0, 0]
C0312657	[1, 0, 0]
C0312658	[1, 0, 0]
C0312700	[1, 0]
C0314604	[1, 0, 0, 0, 1, 1]
C0314605	[1, 0, 0]
C0314606	[1, 0]
C0314607	[1, 0]
C0314608	[1, 0]
C0314609	[1, 0]
C0314610	[0, 1]
C0314612	[1, 0]
C0314614	[0, 0, 0, 1, 1]
C0314617	[1, 0]
C0314619	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
C0314620	[1, 0]
C0314621	[1, 0, 0, 1, 0]
C0314622	[0, 0, 1]
C0314681	[0, 1]
C0376514	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
