C0008664	[1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]
C0008665	[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]
C0008666	[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]
C0008667	[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1]
C0008668	[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1]
C0008669	[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]
C0008670	[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]
C0008671	[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]
C0008672	[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]
C0008778	[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
C0009013	[1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]
C0009781	[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]
C0010834	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]
C0010835	[1, 0, 0, 1, 0, 0, 1, 1]
C0010837	[0, 1, 0, 1, 1, 0, 0, 1, 1, 1]
C0010851	[1, 0, 0, 1, 0, 1, 1, 1, 0]
C0010853	[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]
C0011305	[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1]
C0011306	[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]
C0011703	[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
C0013485	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0013921	[1, 1, 1, 1, 1, 1]
C0014239	[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]
C0014355	[1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]
C0014467	[0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]
C0014597	[1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0]
C0014603	[1, 1, 1, 0, 1, 1, 1, 1, 0]
C0014762	[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]
C0014776	[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
C0014778	[0, 1, 1, 0, 1, 1, 1]
C0014780	[1, 0, 1, 1, 0, 0, 1]
C0014792	[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0]
C0014793	[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]
C0014802	[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0]
C0015161	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
C0016030	[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]
C0016192	[1, 1, 0, 1, 0, 0, 1, 1]
